episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0.00,58.38,58.38,29.133,29.303,0.000,20,0,0,0,1,2,0,0.000,0,0,18,2
2,58.38,108.38,50.00,50.920,34.899,0.017,20,0,0,0,11,1,0,0.000,0,0,13,7
3,108.38,160.38,52.00,41.863,29.042,0.000,20,0,0,0,8,0,0,0.000,0,0,12,8
4,160.38,214.30,53.92,48.595,34.283,0.000,20,0,0,0,6,1,0,0.000,0,1,15,4
5,214.30,277.66,63.36,63.536,32.664,0.000,20,0,0,0,13,1,0,0.000,0,2,12,6
6,277.66,342.48,64.82,71.420,30.311,0.583,20,0,0,0,15,3,0,0.000,0,5,10,5
7,342.48,411.02,68.54,107.171,28.350,2.050,20,0,0,0,26,6,0,0.000,0,9,7,4
8,411.02,524.30,113.28,104.056,28.276,0.533,21,0,1,0,22,3,1,1.500,0,5,8,8
9,524.30,593.66,69.36,88.631,25.691,0.033,20,0,0,0,22,6,0,0.000,0,6,9,5
10,593.66,664.34,70.68,110.304,35.650,8.342,21,0,1,0,21,5,1,1.500,0,6,9,6
11,664.34,729.88,65.54,95.913,28.782,1.017,20,0,0,0,28,2,0,0.000,0,7,8,5
12,729.88,798.48,68.60,96.609,26.621,0.083,20,0,0,0,29,3,0,0.000,0,6,5,9
13,798.48,897.48,99.00,122.516,68.327,40.891,21,0,1,0,33,4,1,1.500,0,8,4,9
14,897.48,1007.40,109.92,118.980,28.205,1.317,21,0,1,0,35,4,1,1.500,0,8,5,8
15,1007.40,1122.44,115.04,121.553,40.458,13.501,21,0,1,0,31,4,1,1.500,0,7,6,8
16,1122.44,1219.30,96.86,147.056,26.873,0.233,21,0,1,0,38,5,1,1.500,0,12,3,6
17,1219.30,1287.06,67.76,115.704,28.773,1.134,20,0,0,0,31,8,0,0.000,0,10,7,3
18,1287.06,1353.96,66.90,109.276,67.082,42.032,20,0,0,0,28,8,0,0.000,0,7,7,6
19,1353.96,1448.40,94.44,125.889,55.872,28.550,21,0,1,0,32,2,1,1.500,0,10,4,7
20,1448.40,1508.02,59.62,102.936,34.218,6.182,20,0,0,0,33,2,0,0.000,0,4,6,10
21,1508.02,1607.96,99.94,146.728,58.530,31.267,21,0,1,0,36,4,1,2.400,0,7,5,9
22,1607.96,1730.96,123.00,166.213,25.216,0.000,21,0,1,0,38,10,1,1.500,0,14,4,3
23,1730.96,1850.66,119.70,159.145,27.956,1.616,21,0,1,0,40,6,1,1.500,0,11,1,9
24,1850.66,1919.82,69.16,129.143,40.860,14.871,20,0,0,0,44,5,0,0.000,0,9,1,11
25,1919.82,1979.30,59.48,118.764,26.009,0.433,20,0,0,0,40,1,0,0.000,0,7,1,12
26,1979.30,2055.00,75.70,144.749,38.508,11.864,21,0,1,0,37,6,1,1.500,0,7,7,7
27,2055.00,2122.44,67.44,141.661,24.878,0.000,20,0,0,0,41,4,0,0.000,0,9,2,9
28,2122.44,2188.38,65.94,114.959,37.141,12.389,20,0,0,0,30,5,0,0.000,0,9,7,4
29,2188.38,2255.44,67.06,124.823,37.685,9.423,20,0,0,0,34,5,0,0.000,0,9,4,7
30,2255.44,2323.00,67.56,127.256,36.160,10.789,20,0,0,0,39,4,0,0.000,0,12,1,7
31,2323.00,2438.44,115.44,170.813,31.367,5.249,21,0,1,0,44,8,1,1.500,0,11,4,6
32,2438.44,2551.66,113.22,153.341,28.152,1.016,21,0,1,0,42,8,1,1.500,0,8,5,8
33,2551.66,2668.32,116.66,169.054,29.302,2.566,21,0,1,0,47,8,1,2.250,0,11,4,6
34,2668.32,2775.36,107.04,197.284,26.172,0.050,22,0,1,0,45,9,2,3.000,0,16,2,4
35,2775.36,2864.66,89.30,145.420,43.635,15.796,21,0,1,0,35,5,1,1.950,0,11,8,2
36,2864.66,2964.00,99.34,166.512,48.754,22.078,21,0,1,0,45,7,1,5.700,0,10,3,8
37,2964.00,3066.48,102.48,177.637,26.001,0.533,21,0,1,0,48,7,1,3.300,0,15,0,6
38,3066.48,3174.00,107.52,177.583,26.684,0.583,21,0,1,0,47,8,1,3.000,0,14,1,6
39,3174.00,3288.54,114.54,215.414,32.268,3.716,23,0,1,0,43,13,3,7.350,0,13,5,5
