episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-350,Prey,-1,0,18.829,0.862,2.751,119.989,33.341,Starvation,-1.016044
0,-490,Prey,-1,0,10.934,0.818,1.517,101.768,33.341,Starvation,-1.016044
0,-630,Prey,-1,0,16.765,1.378,1.665,110.572,33.341,Starvation,-1.016044
0,-770,Prey,-1,0,12.442,1.173,2.053,100.048,33.341,Starvation,-1.016044
0,-910,Prey,-1,0,13.473,1.135,1.960,97.263,33.341,Starvation,-1.016044
0,-1190,Prey,-1,0,19.948,1.443,2.123,92.526,33.341,Starvation,-1.016044
0,-1330,Prey,-1,0,16.409,0.844,2.234,100.590,33.341,Starvation,-1.016044
0,-1470,Prey,-1,0,17.617,0.888,2.084,119.966,33.341,Starvation,-3.516024
0,-1610,Prey,-1,0,17.933,0.828,3.268,99.918,33.341,Starvation,0.5093377
0,-1750,Prey,-1,0,15.848,0.831,1.528,98.696,33.341,Starvation,-1.016044
0,-1890,Prey,-1,0,19.939,1.421,1.520,106.082,33.341,Starvation,-1.016044
0,-2030,Prey,-1,0,14.456,1.328,1.589,109.972,33.341,Starvation,-1.016044
0,-2310,Prey,-1,0,18.364,0.917,2.074,115.395,33.341,Starvation,-1.016044
0,-2450,Prey,-1,0,12.845,1.212,3.081,106.739,33.341,Starvation,-1.016044
0,-2590,Prey,-1,0,10.585,1.425,1.594,107.470,33.341,Starvation,-9.016008
0,-2730,Prey,-1,0,14.521,0.974,2.853,107.703,33.341,Starvation,-1.016044
0,-2870,Prey,-1,0,16.743,1.492,1.965,101.774,33.341,Starvation,-1.016044
0,-3010,Prey,-1,0,18.586,1.387,1.535,111.928,33.341,Starvation,0.2168777
0,-3150,Prey,-1,0,18.199,1.250,2.066,112.001,33.341,Starvation,-1.016044
0,-3290,Prey,-1,0,15.440,1.048,2.968,114.588,33.341,Starvation,-1.016044
0,-3430,Prey,-1,0,17.742,1.285,1.978,117.828,33.341,Starvation,-1.016044
0,-3710,Prey,-1,0,17.415,1.352,2.377,119.622,33.341,Starvation,-1.016044
0,-3850,Prey,-1,0,14.104,1.305,2.101,99.572,33.341,Starvation,0.2168758
0,-3990,Prey,-1,0,13.152,1.090,2.646,110.990,33.341,Starvation,-1.016044
0,-4130,Prey,-1,0,15.769,1.283,2.273,119.732,33.341,Starvation,-1.016044
0,-4270,Prey,-1,0,19.888,0.966,2.267,109.915,33.341,Starvation,-1.016044
0,-202,Prey,-1,0,12.383,1.155,2.450,94.915,33.341,Starvation,-1.015044
0,-3570,Prey,-1,0,14.386,1.098,2.010,95.789,41.601,Starvation,1.312376
0,-1050,Prey,-1,0,16.644,0.965,1.729,99.046,49.621,Starvation,-4.156076
0,-2170,Prey,-1,0,10.854,1.056,3.036,107.073,50.001,Dehydration,0.6219988
1,-5938,Prey,-1,0,13.652,1.395,2.484,112.989,33.341,Starvation,-1.016044
1,-6498,Prey,-1,0,20.000,1.206,2.485,103.287,33.341,Starvation,-1.016044
1,-6638,Prey,-1,0,13.499,0.991,2.655,98.544,33.341,Starvation,-1.016044
1,-7058,Prey,-1,0,11.686,1.238,3.022,117.778,33.341,Starvation,-1.016044
1,-7198,Prey,-1,0,12.761,1.071,2.342,117.443,33.341,Starvation,-1.016044
1,-7338,Prey,-1,0,10.822,1.116,1.510,105.623,33.341,Starvation,-1.016044
1,-7478,Prey,-1,0,11.738,0.849,3.498,96.696,33.341,Starvation,-1.016044
1,-7618,Prey,-1,0,14.024,1.074,2.647,106.702,33.341,Starvation,-0.1160418
1,-7758,Prey,-1,0,19.033,0.903,1.989,119.298,33.341,Starvation,-1.016044
1,-8038,Prey,-1,0,16.677,1.318,3.425,91.772,33.341,Starvation,-3.516018
1,-8178,Prey,-1,0,12.864,1.047,1.888,113.914,33.341,Starvation,-1.016044
1,-8318,Prey,-1,0,14.240,1.396,3.460,102.496,33.341,Starvation,-1.016044
1,-8458,Prey,-1,0,19.478,0.864,1.635,94.893,33.341,Starvation,-1.016044
1,-8598,Prey,-1,0,17.156,0.910,2.446,101.037,33.341,Starvation,-5.516019
1,-8878,Prey,-1,0,10.924,1.245,1.501,96.537,33.341,Starvation,-1.016044
1,-9158,Prey,-1,0,17.830,1.060,1.883,113.808,33.341,Starvation,-1.016044
1,-9298,Prey,-1,0,16.257,1.168,2.852,90.030,33.341,Starvation,-1.016044
1,-9578,Prey,-1,0,11.070,1.416,1.918,110.869,33.341,Starvation,-1.016044
1,-9998,Prey,-1,0,13.771,1.148,1.923,111.247,33.341,Starvation,-1.016044
1,-9718,Prey,-1,0,12.033,0.926,2.907,115.763,40.661,Starvation,-1.01287
1,-9858,Prey,-1,0,11.026,1.090,2.850,90.327,40.661,Starvation,-0.8364568
1,-6218,Prey,-1,0,19.319,0.804,3.105,102.638,50.001,Dehydration,1.264608
1,-8738,Prey,-1,0,12.167,1.071,2.214,94.221,50.001,Dehydration,0.5557423
1,-6358,Prey,-1,0,18.711,1.031,2.658,99.158,52.821,Starvation,1.931824
1,-6778,Prey,-1,0,13.485,1.042,1.633,108.671,59.001,Starvation,2.654477
1,-9438,Prey,-1,0,10.977,1.438,3.456,91.958,59.481,Dehydration,1.436601
1,-9018,Prey,-1,0,11.368,0.826,2.467,91.766,62.361,Starvation,3.120595
1,-6918,Prey,-1,0,12.511,1.044,1.938,92.844,78.819,Starvation,7.203242
1,-7898,Prey,-1,0,18.779,1.268,3.336,101.124,101.135,Natural,9.161085
1,-6078,Prey,-1,0,12.266,0.951,1.632,117.768,111.773,Starvation,7.792297
2,-12208,Prey,-1,0,12.729,1.039,2.211,106.103,33.341,Starvation,-2.016044
2,-12348,Prey,-1,0,13.601,1.409,2.292,95.782,33.341,Starvation,-1.016044
2,-12628,Prey,-1,0,10.908,1.244,3.350,111.221,33.341,Starvation,-1.016044
2,-13048,Prey,-1,0,15.586,1.115,1.647,102.440,33.341,Starvation,-1.016044
2,-13188,Prey,-1,0,14.476,1.026,2.288,96.183,33.341,Starvation,-1.016044
2,-13328,Prey,-1,0,16.865,0.949,2.018,115.201,33.341,Starvation,-1.016044
2,-13468,Prey,-1,0,11.657,1.318,3.240,96.611,33.341,Starvation,0.1839458
2,-13608,Prey,-1,0,18.599,1.128,2.264,106.145,33.341,Starvation,-1.016044
2,-13748,Prey,-1,0,15.357,1.013,1.812,100.498,33.341,Starvation,1.116866
2,-13888,Prey,-1,0,14.323,1.346,2.154,91.990,33.341,Starvation,-1.016044
2,-14168,Prey,-1,0,12.562,0.867,1.789,113.915,33.341,Starvation,-1.016044
2,-14308,Prey,-1,0,17.973,0.850,3.209,113.062,33.341,Starvation,-1.016044
