episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,49.98,49.98,24.256,60.414,0.000,30,0,0,0,2,0,0,0.000,0,0,29,1,0
2,49.98,161.76,111.78,62.355,55.093,0.000,30,0,0,0,12,3,0,0.000,0,1,26,3,0
3,161.76,220.46,58.70,36.854,53.983,0.750,30,0,0,0,7,0,0,0.000,0,0,27,3,0
4,220.46,298.42,77.96,42.265,47.012,0.033,30,0,0,0,8,0,0,0.000,0,0,27,3,0
5,298.42,367.70,69.28,45.942,49.006,0.000,30,0,0,0,12,2,0,0.000,0,0,21,9,0
6,367.70,456.60,88.90,52.784,48.503,0.000,30,0,0,0,10,3,0,0.000,0,0,24,6,0
7,456.60,534.88,78.28,54.944,56.610,6.600,30,0,0,0,15,3,0,0.000,0,0,23,7,0
8,534.88,626.20,91.32,53.518,48.778,0.267,30,0,0,0,14,1,0,0.000,0,0,22,8,0
9,626.20,676.20,50.00,51.172,56.033,7.450,30,0,0,0,14,1,0,0.000,0,0,24,6,0
10,676.20,766.86,90.66,75.628,49.309,0.050,30,0,0,0,18,6,0,0.150,0,0,26,4,0
11,766.86,827.78,60.92,61.554,50.039,1.917,30,0,0,0,14,4,0,0.000,0,0,25,5,0
12,827.78,933.56,105.78,64.560,47.759,0.150,30,0,0,0,18,3,0,0.000,0,0,25,5,0
13,933.56,1015.58,82.02,72.682,49.093,0.267,30,0,0,0,16,8,0,0.000,0,0,26,4,0
14,1015.58,1129.98,114.40,89.894,52.365,3.800,30,0,0,0,27,5,0,0.450,0,2,21,7,0
15,1129.98,1246.66,116.68,79.508,54.841,5.792,30,0,0,0,24,3,0,0.150,0,1,22,7,0
16,1246.66,1332.44,85.78,76.374,53.452,5.383,30,0,0,0,21,4,0,0.000,0,0,21,9,0
17,1332.44,1433.18,100.74,83.019,46.045,0.533,30,0,0,0,22,6,0,0.000,0,2,26,2,0
18,1433.18,1498.38,65.20,76.780,50.510,2.600,30,0,0,0,20,7,0,0.000,0,0,23,7,0
19,1498.38,1586.24,87.86,80.291,60.941,12.792,30,0,0,0,22,6,0,0.000,0,0,22,8,0
20,1586.24,1670.68,84.44,113.300,55.560,2.433,30,0,0,0,38,8,0,0.300,0,0,15,15,0
21,1670.68,1737.18,66.50,70.734,50.175,3.050,30,0,0,0,18,3,0,0.000,0,0,25,5,0
22,1737.18,1842.02,104.84,111.286,52.315,2.150,30,0,0,0,34,4,0,0.750,0,2,23,5,0
23,1842.02,1942.16,100.14,97.097,56.723,7.558,30,0,0,0,27,8,0,0.000,0,1,21,8,0
24,1942.16,2004.64,62.48,75.369,50.375,1.217,30,0,0,0,19,3,0,0.000,0,0,27,3,0
25,2004.64,2083.14,78.50,77.095,55.160,2.150,30,0,0,0,19,5,0,0.300,0,0,26,4,0
26,2083.14,2153.62,70.48,72.032,79.886,15.520,30,0,0,0,17,3,0,0.000,0,0,28,2,0
27,2153.62,2223.06,69.44,80.731,52.445,6.201,30,0,0,0,19,5,0,0.300,0,0,29,1,0
28,2223.06,2294.00,70.94,84.742,48.036,1.884,30,0,0,0,21,7,0,0.000,0,0,28,2,0
29,2294.00,2387.38,93.38,96.610,56.688,8.785,30,0,0,0,23,9,0,0.450,0,1,27,2,0
30,2387.38,2504.64,117.26,91.752,59.373,8.543,30,0,0,0,24,7,0,0.150,0,1,26,3,0
31,2504.64,2595.08,90.44,94.254,51.130,4.134,30,0,0,0,26,6,0,0.000,0,1,24,5,0
32,2595.08,2704.48,109.40,105.260,49.846,3.417,30,0,0,0,25,10,0,0.300,0,1,29,0,0
33,2704.48,2765.46,60.98,76.103,52.321,3.826,30,0,0,0,20,3,0,0.000,0,0,24,6,0
34,2765.46,2830.62,65.16,90.316,59.481,3.251,30,0,0,0,20,9,0,0.300,0,0,27,3,0
