episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
58,5096.68,5203.28,106.60,164.647,28.269,1.950,21,0,1,0,45,8,1,3.600,0,13,4,4
59,5203.28,5325.28,122.00,225.583,38.278,8.415,22,0,1,0,56,10,2,5.100,0,16,1,5
60,5325.28,5391.86,66.58,150.183,34.430,8.598,20,0,0,0,43,8,0,0.750,0,15,1,4
61,5391.86,5485.82,93.96,197.809,39.699,7.348,22,0,1,0,51,11,2,4.350,0,14,3,5
62,5485.82,5598.30,112.48,169.772,34.111,4.632,21,0,1,0,54,3,1,1.500,0,9,2,10
63,5598.30,5712.42,114.12,213.535,34.213,4.682,22,0,1,0,50,12,2,5.550,0,16,3,3
64,5712.42,5782.24,69.82,192.131,35.248,8.964,20,0,0,0,51,13,0,5.250,0,16,1,3
65,5782.24,5903.04,120.80,193.963,40.000,12.314,21,0,1,0,49,11,1,2.850,0,15,4,2
66,5903.04,6015.34,112.30,189.918,35.341,5.599,21,0,1,0,59,6,1,1.500,0,14,0,7
67,6015.34,6125.04,109.70,233.765,44.000,7.848,23,0,1,0,53,15,3,4.800,0,15,4,4
68,6125.04,6225.14,100.10,187.041,42.609,12.439,21,0,1,0,48,8,1,2.850,0,15,2,4
69,6225.14,6293.30,68.16,139.736,32.246,5.399,20,0,0,0,39,8,0,0.150,0,13,4,3
70,6293.30,6361.06,67.76,147.229,46.845,19.412,20,0,0,0,48,6,0,0.300,0,11,1,8
71,6361.06,6486.86,125.80,318.402,36.280,3.449,26,0,1,0,72,12,6,9.450,0,17,2,7
72,6486.86,6601.24,114.38,157.794,60.051,20.612,21,0,1,0,50,5,1,1.500,0,13,4,4
73,6601.24,6717.14,115.90,212.992,34.964,6.457,22,0,1,0,51,14,2,3.750,0,15,3,4
74,6717.14,6816.36,99.22,213.489,37.633,10.597,22,0,1,0,58,7,2,3.000,0,13,1,8
75,6816.36,6930.86,114.50,254.686,31.132,2.549,23,0,1,0,58,14,3,6.600,0,14,3,6
76,6930.86,6998.04,67.18,169.283,29.162,4.716,20,0,0,0,39,8,0,3.900,0,14,4,2
77,6998.04,7113.20,115.16,190.233,33.911,9.114,21,0,1,0,47,13,1,2.850,0,16,3,2
78,7113.20,7232.02,118.82,212.869,38.748,10.397,22,0,1,0,55,14,2,4.500,0,13,2,7
79,7232.02,7332.32,100.30,188.856,47.346,20.620,21,0,1,0,48,11,1,1.500,0,16,3,2
80,7332.32,7442.16,109.84,216.031,31.831,3.899,22,0,1,0,50,10,2,3.600,0,15,3,5
81,7442.16,7549.54,107.38,183.297,31.391,6.457,21,0,1,0,45,10,1,3.000,0,12,3,6
82,7549.54,7616.68,67.14,161.077,27.255,2.033,20,0,0,0,48,10,0,2.250,0,13,2,5
83,7616.68,7728.70,112.02,243.115,37.875,8.648,23,0,1,0,62,9,3,5.700,0,15,1,7
84,7728.70,7832.64,103.94,200.785,30.317,4.391,21,0,1,0,56,11,1,3.750,0,16,0,5
85,7832.64,7902.16,69.52,157.740,28.989,4.549,20,0,0,0,47,7,0,2.550,0,14,1,5
86,7902.16,8006.30,104.14,315.556,32.830,4.890,25,0,1,0,61,16,5,8.400,0,21,3,1
87,8006.30,8119.80,113.50,212.886,27.662,0.816,21,0,1,0,55,12,1,4.800,0,17,1,3
88,8119.80,8231.66,111.86,199.489,27.349,2.466,21,0,1,0,53,11,1,3.300,0,16,0,5
