episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-350,Prey,-1,0,10.929,1.166,2.366,230.640,33.341,Starvation,0.2168734
0,-630,Prey,-1,0,16.699,1.065,3.283,229.231,33.341,Starvation,-1.016044
0,-770,Prey,-1,0,10.052,0.927,3.196,248.445,33.341,Starvation,-1.016044
0,-910,Prey,-1,0,12.253,0.934,2.232,217.749,33.341,Starvation,-1.016044
0,-1050,Prey,-1,0,15.131,0.961,2.304,248.985,33.341,Starvation,-1.016044
0,-1330,Prey,-1,0,14.150,1.470,1.804,231.935,33.341,Starvation,-1.016044
0,-1610,Prey,-1,0,19.205,1.440,2.383,218.999,33.341,Starvation,-1.016044
0,-1750,Prey,-1,0,12.518,1.218,3.370,237.074,33.341,Starvation,-1.016044
0,-1890,Prey,-1,0,18.288,0.977,2.025,239.471,33.341,Starvation,-6.516016
0,-2030,Prey,-1,0,10.552,1.303,3.306,229.456,33.341,Starvation,-1.516042
0,-2310,Prey,-1,0,10.407,1.477,3.003,207.224,33.341,Starvation,-1.016044
0,-2450,Prey,-1,0,18.652,1.378,3.220,211.939,33.341,Starvation,-0.7088857
0,-2730,Prey,-1,0,16.051,0.879,2.151,234.509,33.341,Starvation,-1.016044
0,-2870,Prey,-1,0,14.527,1.400,2.630,248.203,33.341,Starvation,-1.016044
0,-3010,Prey,-1,0,10.344,1.039,1.771,227.062,33.341,Starvation,0.0002105236
0,-3150,Prey,-1,0,11.597,1.158,2.186,222.749,33.341,Starvation,-1.016044
0,-3570,Prey,-1,0,16.546,0.904,1.728,228.200,33.341,Starvation,-0.3863551
0,-3710,Prey,-1,0,14.291,0.856,2.459,227.104,33.341,Starvation,-1.516042
0,-3850,Prey,-1,0,12.949,1.189,1.911,211.377,33.341,Starvation,-3.016061
0,-3990,Prey,-1,0,13.918,1.022,2.017,214.362,33.341,Starvation,-1.016044
0,-4130,Prey,-1,0,16.077,0.963,3.344,225.582,33.341,Starvation,-3.01606
0,-202,Prey,-1,0,15.832,1.116,2.391,243.811,33.341,Starvation,-1.015044
0,-2170,Prey,-1,0,17.285,1.341,1.756,233.394,40.661,Starvation,-0.7837863
0,-3290,Prey,-1,0,14.345,1.055,1.854,216.658,40.661,Starvation,-0.8058277
0,-490,Prey,-1,0,15.458,1.177,1.820,228.019,50.001,Dehydration,0.7212287
0,-1190,Prey,-1,0,14.948,0.973,3.381,211.998,50.001,Dehydration,0.1740682
0,-1470,Prey,-1,0,19.201,1.089,1.787,207.283,50.001,Dehydration,0.2926888
0,-2590,Prey,-1,0,14.413,0.873,3.159,215.388,50.001,Dehydration,1.904619
0,-4270,Prey,-1,0,13.221,1.058,3.331,226.336,50.001,Dehydration,-0.4178036
0,-3430,Prey,-1,0,16.734,1.210,2.822,231.798,74.000,Starvation,2.32287
1,-6722,Prey,-1,0,13.193,1.034,1.966,248.155,33.341,Starvation,-1.016044
1,-7142,Prey,-1,0,16.213,1.213,1.830,223.419,33.341,Starvation,-1.016044
1,-7282,Prey,-1,0,10.288,0.904,1.933,200.295,33.341,Starvation,-1.016044
1,-7702,Prey,-1,0,11.812,0.986,2.863,244.002,33.341,Starvation,0.7950058
1,-8122,Prey,-1,0,13.869,0.932,2.172,228.957,33.341,Starvation,0.8168733
1,-8262,Prey,-1,0,16.254,0.936,2.777,243.259,33.341,Starvation,-1.499373
1,-8402,Prey,-1,0,10.948,1.289,3.359,235.386,33.341,Starvation,-1.916041
1,-8542,Prey,-1,0,15.272,0.849,1.951,232.134,33.341,Starvation,-1.016044
1,-8682,Prey,-1,0,12.317,1.386,3.214,215.745,33.341,Starvation,-1.016044
1,-9102,Prey,-1,0,12.167,1.137,3.477,215.621,33.341,Starvation,-1.016044
1,-9242,Prey,-1,0,10.479,1.468,1.539,235.441,33.341,Starvation,-4.132682
1,-9382,Prey,-1,0,13.661,1.223,2.046,242.005,33.341,Starvation,-1.016044
1,-9522,Prey,-1,0,16.567,1.494,3.290,249.056,33.341,Starvation,-1.016044
1,-9662,Prey,-1,0,13.244,0.819,1.776,220.686,33.341,Starvation,-2.432728
1,-9942,Prey,-1,0,14.435,1.447,3.026,244.655,33.341,Starvation,0.8168824
1,-10082,Prey,-1,0,12.186,1.059,1.690,209.143,33.341,Starvation,-1.016044
1,-10222,Prey,-1,0,16.470,1.478,2.588,240.617,33.341,Starvation,-0.7160444
1,-10362,Prey,-1,0,17.741,1.360,3.374,212.024,33.341,Starvation,-0.08848089
1,-10502,Prey,-1,0,11.622,1.391,2.702,209.808,33.341,Starvation,-1.016044
1,-10642,Prey,-1,0,14.687,0.842,2.431,215.279,33.341,Starvation,-0.1160433
1,-7422,Prey,-1,0,12.855,0.913,3.476,212.512,43.701,Starvation,0.4889842
1,-6582,Prey,-1,0,19.516,0.933,3.466,200.699,44.301,Starvation,0.1052704
1,-8822,Prey,-1,0,12.938,1.193,3.056,203.397,45.841,Starvation,-0.359439
1,-7002,Prey,-1,0,17.835,1.159,2.916,213.303,46.181,Starvation,-0.5658888
1,-7982,Prey,-1,0,15.160,1.298,3.313,210.651,47.841,Starvation,-0.6185462
1,-9802,Prey,-1,0,17.170,1.109,2.952,216.544,49.341,Starvation,-0.9098755
1,-7562,Prey,-1,0,11.286,1.429,3.438,223.473,50.001,Dehydration,0.3510091
1,-6862,Prey,-1,0,11.678,0.996,2.940,217.708,65.481,Starvation,1.432886
1,-8962,Prey,-1,0,12.857,1.085,2.983,239.432,69.780,Starvation,3.324586
1,-7842,Prey,-1,0,11.035,1.118,2.598,215.286,127.991,Starvation,11.92816
2,-12208,Prey,-1,0,15.399,0.813,2.683,247.878,33.341,Starvation,-1.032711
