episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-630,Prey,-1,0,11.994,1.022,1.898,230.333,33.341,Starvation,-0.4004648
0,-770,Prey,-1,0,19.407,1.446,2.067,210.698,33.341,Starvation,-1.016044
0,-910,Prey,-1,0,11.259,0.910,2.174,223.879,33.341,Starvation,-1.016044
0,-1050,Prey,-1,0,11.446,1.392,2.523,242.444,33.341,Starvation,-3.01606
0,-1470,Prey,-1,0,19.936,1.280,2.200,239.758,33.341,Starvation,-5.39935
0,-1610,Prey,-1,0,12.947,1.188,2.792,237.942,33.341,Starvation,-1.016044
0,-1750,Prey,-1,0,13.734,1.024,2.293,237.145,33.341,Starvation,-1.016044
0,-1890,Prey,-1,0,17.538,0.855,3.347,218.961,33.341,Starvation,-1.016044
0,-2170,Prey,-1,0,11.458,1.382,2.053,215.138,33.341,Starvation,-1.016044
0,-2310,Prey,-1,0,10.769,0.909,3.319,205.204,33.341,Starvation,-1.016044
0,-2450,Prey,-1,0,11.101,0.806,2.327,236.439,33.341,Starvation,-1.016044
0,-2590,Prey,-1,0,19.705,0.836,3.002,248.776,33.341,Starvation,-3.516017
0,-2730,Prey,-1,0,16.290,1.127,2.874,242.413,33.341,Starvation,-1.199379
0,-2870,Prey,-1,0,10.673,1.468,2.370,248.916,33.341,Starvation,-1.282712
0,-3010,Prey,-1,0,17.663,1.440,1.543,248.414,33.341,Starvation,-1.466039
0,-3150,Prey,-1,0,10.233,1.316,2.787,200.994,33.341,Starvation,-1.016044
0,-3290,Prey,-1,0,11.247,1.425,1.807,209.578,33.341,Starvation,-2.516062
0,-3430,Prey,-1,0,13.688,0.901,2.486,212.572,33.341,Starvation,-1.016044
0,-3570,Prey,-1,0,11.759,1.453,3.067,206.684,33.341,Starvation,-0.08318639
0,-3710,Prey,-1,0,11.791,1.286,2.507,207.878,33.341,Starvation,-1.016044
0,-3850,Prey,-1,0,17.352,1.405,2.672,203.024,33.341,Starvation,-2.866062
0,-3990,Prey,-1,0,15.059,1.035,2.787,211.345,33.341,Starvation,-0.09699839
0,-4130,Prey,-1,0,19.680,1.440,2.437,247.231,33.341,Starvation,-1.032711
0,-4270,Prey,-1,0,12.408,0.878,1.680,225.781,33.341,Starvation,-1.949374
0,-202,Prey,-1,0,16.853,0.969,1.610,223.924,33.341,Starvation,-7.015018
0,-2030,Prey,-1,0,17.076,1.143,3.017,241.557,44.841,Starvation,1.690047
0,-490,Prey,-1,0,11.465,1.465,1.696,226.547,50.001,Dehydration,0.1123099
0,-1190,Prey,-1,0,18.862,0.976,1.982,249.364,50.001,Dehydration,-0.1303253
0,-1330,Prey,-1,0,17.938,1.024,2.879,206.857,50.001,Dehydration,0.9705527
0,-350,Prey,-1,0,14.621,0.805,2.479,229.108,93.956,Dehydration,5.498076
1,-6582,Prey,-1,0,14.737,0.989,2.088,226.057,33.341,Starvation,0.5168734
1,-6722,Prey,-1,0,15.507,0.891,1.557,236.258,33.341,Starvation,-1.016044
1,-7142,Prey,-1,0,12.669,0.822,2.632,226.143,33.341,Starvation,-1.016044
1,-7422,Prey,-1,0,19.429,1.220,3.169,226.618,33.341,Starvation,-5.516018
1,-7842,Prey,-1,0,16.132,0.974,3.484,243.914,33.341,Starvation,-1.199379
1,-7982,Prey,-1,0,17.355,1.375,2.880,235.339,33.341,Starvation,-1.016044
1,-8402,Prey,-1,0,13.338,1.075,2.246,231.830,33.341,Starvation,-1.016044
1,-9102,Prey,-1,0,17.602,1.369,1.880,210.185,33.341,Starvation,-1.016044
1,-9382,Prey,-1,0,15.390,0.979,2.328,220.201,33.341,Starvation,-1.016044
1,-10082,Prey,-1,0,15.413,1.460,2.701,234.723,33.341,Starvation,-1.016044
1,-10502,Prey,-1,0,17.583,1.180,2.193,211.138,33.341,Starvation,-1.016044
1,-8542,Prey,-1,0,13.683,1.305,3.334,249.353,40.661,Starvation,0.5009552
1,-9522,Prey,-1,0,15.254,1.473,3.374,211.549,40.661,Starvation,-2.77832
1,-8122,Prey,-1,0,19.628,0.840,2.724,229.653,45.601,Starvation,0.6996989
1,-10362,Prey,-1,0,18.776,1.492,3.316,247.353,46.901,Starvation,1.111683
1,-7282,Prey,-1,0,15.586,0.990,1.547,235.069,47.901,Starvation,2.41208
1,-8962,Prey,-1,0,12.252,1.372,1.828,218.864,48.861,Starvation,0.6109947
1,-7562,Prey,-1,0,14.350,1.134,3.109,239.892,50.001,Dehydration,1.18214
1,-9802,Prey,-1,0,13.188,1.377,1.699,216.856,50.001,Dehydration,-0.1842986
1,-10642,Prey,-1,0,10.769,0.989,3.389,230.523,50.001,Dehydration,0.5871338
1,-9242,Prey,-1,0,16.343,1.383,2.518,217.348,52.481,Starvation,2.317713
1,-9662,Prey,-1,0,16.987,0.909,2.463,222.499,60.941,Starvation,3.563941
1,-8682,Prey,-1,0,12.842,0.956,3.173,216.021,66.321,Starvation,4.243012
1,-7002,Prey,-1,0,16.040,0.864,2.368,207.405,69.500,Starvation,0.6061692
1,-10222,Prey,-1,0,14.401,1.108,3.071,238.014,73.640,Starvation,3.656974
1,-8262,Prey,-1,0,10.621,1.207,3.351,237.812,81.378,Starvation,5.673818
1,-7702,Prey,-1,0,17.346,0.975,2.849,201.436,83.878,Starvation,7.946167
1,-8822,Prey,-1,0,18.427,1.094,3.500,221.170,87.597,Starvation,2.683959
1,-9942,Prey,-1,0,18.019,1.154,2.829,206.261,99.255,Dehydration,9.642015
1,-6862,Prey,-1,0,15.398,0.895,2.658,205.143,134.812,Starvation,10.70421
2,-12208,Prey,-1,0,10.372,0.916,2.156,232.248,33.341,Starvation,-1.016044
2,-12348,Prey,-1,0,10.078,1.160,1.782,204.010,33.341,Starvation,-1.016044
2,-12628,Prey,-1,0,11.840,1.387,3.105,200.742,33.341,Starvation,-1.016044
2,-13188,Prey,-1,0,18.075,1.295,2.198,208.273,33.341,Starvation,-1.016044
2,-13468,Prey,-1,0,11.438,1.453,2.163,236.561,33.341,Starvation,-1.016044
2,-13748,Prey,-1,0,10.596,0.871,3.251,201.453,33.341,Starvation,0.5114024
2,-14308,Prey,-1,0,17.921,1.447,2.323,210.064,33.341,Starvation,-1.166044
2,-14588,Prey,-1,0,11.998,1.252,3.270,221.453,33.341,Starvation,-1.016044
2,-14728,Prey,-1,0,11.069,1.429,1.789,247.648,33.341,Starvation,-1.016044
2,-15008,Prey,-1,0,17.577,1.260,3.363,209.898,33.341,Starvation,-1.266042
2,-15148,Prey,-1,0,14.384,1.090,1.731,217.638,33.341,Starvation,-0.7160443
2,-15428,Prey,-1,0,16.704,1.211,2.791,224.949,33.341,Starvation,-1.016044
2,-15568,Prey,-1,0,13.369,1.137,1.632,226.049,33.341,Starvation,-1.016044
2,-15848,Prey,-1,0,11.456,1.194,2.982,209.143,33.341,Starvation,-1.016044
2,-15988,Prey,-1,0,12.852,1.478,1.708,206.334,33.341,Starvation,-1.016044
2,-16128,Prey,-1,0,13.030,0.818,2.670,249.580,33.341,Starvation,-1.016044
2,-16268,Prey,-1,0,11.348,0.954,2.909,240.632,33.341,Starvation,-0.1160424
2,-13048,Prey,-1,0,15.927,1.140,1.528,239.800,40.661,Starvation,-0.4754449
2,-13608,Prey,-1,0,19.400,0.916,2.044,232.685,46.741,Starvation,-0.5614139
2,-13328,Prey,-1,0,13.164,1.237,2.822,226.351,50.001,Dehydration,0.6819142
2,-14028,Prey,-1,0,18.397,0.808,1.822,231.967,50.001,Dehydration,0.896203
2,-15288,Prey,-1,0,12.386,0.915,3.253,202.246,50.001,Dehydration,0.8744004
2,-15708,Prey,-1,0,12.603,1.015,2.126,221.330,50.001,Dehydration,-0.3449723
2,-14868,Prey,-1,0,14.056,1.494,2.679,227.011,59.481,Dehydration,2.331297
2,-12488,Prey,-1,0,15.502,1.430,1.992,226.470,72.480,Starvation,11.49241
2,-14168,Prey,-1,0,10.947,1.162,2.262,205.141,79.699,Starvation,5.359898
2,-14448,Prey,-1,0,16.913,1.253,3.323,219.315,133.992,Starvation,11.33493
2,-16546,Prey,[-12768 -12488],1,15.881,1.370,2.514,200.000,78.699,Starvation,3.439445
2,-12768,Prey,-1,0,16.335,1.204,3.376,238.876,156.557,Starvation,26.76707
2,-13888,Prey,-1,0,19.467,0.813,2.977,211.634,211.648,Natural,28.61474
2,-12908,Prey,-1,0,18.963,1.212,2.135,216.220,216.229,Natural,28.44044
3,-16966,Prey,-1,0,17.073,1.088,2.090,237.233,33.341,Starvation,-1.016044
3,-17666,Prey,-1,0,11.585,1.038,1.757,214.752,33.341,Starvation,-1.016044
3,-18086,Prey,-1,0,17.353,0.875,1.909,235.329,33.341,Starvation,0.7453375
3,-19626,Prey,-1,0,10.184,1.401,1.628,227.516,33.341,Starvation,-1.016044
3,-20466,Prey,-1,0,14.687,1.363,3.391,231.654,33.341,Starvation,-1.016044
3,-17246,Prey,-1,0,18.842,1.148,1.519,200.272,40.661,Starvation,-0.7357424
3,-19766,Prey,-1,0,15.687,1.206,3.485,207.437,43.701,Starvation,0.7102511
3,-18926,Prey,-1,0,12.261,1.348,2.490,244.921,44.601,Starvation,-0.2197217
3,-19486,Prey,-1,0,11.167,1.343,1.973,239.675,50.001,Dehydration,-0.2606481
3,-17106,Prey,-1,0,13.089,1.115,3.487,216.243,55.281,Starvation,0.2550011
3,-18646,Prey,-1,0,16.574,1.183,2.888,245.062,63.641,Dehydration,4.786548
3,-18786,Prey,-1,0,18.831,1.385,3.242,249.456,70.040,Starvation,2.961134
3,-19066,Prey,-1,0,14.222,1.311,1.579,207.215,71.180,Starvation,4.155045
3,-18366,Prey,-1,0,17.435,1.268,2.640,231.134,72.040,Starvation,10.29242
3,-19206,Prey,-1,0,16.322,1.477,2.863,245.912,76.559,Dehydration,5.590165
3,-20606,Prey,-1,0,16.885,0.866,1.751,226.621,78.039,Dehydration,11.26128
3,-19906,Prey,-1,0,12.491,0.884,3.453,206.838,84.038,Starvation,15.15795
3,-17526,Prey,-1,0,18.534,0.837,3.173,218.203,84.358,Starvation,8.136308
3,-17386,Prey,-1,0,13.915,1.078,1.595,206.326,87.437,Starvation,12.27565
3,-20326,Prey,-1,0,13.833,1.342,3.149,222.539,87.597,Starvation,12.80651
3,-16686,Prey,-1,0,14.607,0.878,1.608,216.660,88.957,Starvation,7.470762
3,-19346,Prey,-1,0,14.649,1.275,3.043,244.108,89.337,Starvation,6.4263
3,-20186,Prey,-1,0,18.813,0.836,3.461,205.981,96.816,Starvation,10.01231
3,-20746,Prey,-1,0,16.081,1.497,2.726,232.434,104.515,Dehydration,16.98497
3,-20046,Prey,-1,0,15.231,1.018,2.710,247.637,110.434,Dehydration,11.66342
3,-21396,Prey,[-19906 -17386],1,13.295,0.976,2.425,200.000,33.341,Starvation,-0.7660443
3,-18506,Prey,-1,0,16.689,0.880,2.360,246.209,117.892,Starvation,9.811631
3,-18226,Prey,-1,0,18.608,1.221,1.896,228.190,135.512,Starvation,12.24882
3,-16826,Prey,-1,0,13.267,1.262,1.721,213.936,142.814,Starvation,13.85716
3,-17946,Prey,-1,0,10.362,0.911,1.575,222.527,152.276,Starvation,13.30117
3,-21256,Prey,[-20326 -20606],1,15.407,1.072,2.400,200.000,83.498,Dehydration,6.704551
