episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,93.94,93.94,32.895,67.762,3.550,30,0,0,0,5,1,0,0.000,0,0,26,4,0
2,93.94,228.76,134.82,99.070,58.220,0.183,30,0,0,0,20,5,0,0.000,0,0,26,4,0
3,228.76,444.98,216.22,154.827,51.966,0.400,31,0,1,0,33,10,1,1.500,0,2,24,5,0
4,444.98,625.94,180.96,278.164,73.412,6.633,33,0,1,0,64,21,3,8.400,0,0,26,7,0
5,625.94,792.72,166.78,278.427,97.125,8.500,34,0,1,0,69,17,4,6.750,0,0,20,14,0
6,792.72,1029.14,236.42,199.011,62.690,5.533,31,0,1,0,52,13,1,5.700,0,1,24,7,0
7,1029.14,1263.66,234.52,186.193,60.545,7.158,30,0,0,0,61,12,0,1.500,0,1,18,11,0
8,1263.66,1423.98,160.32,157.162,59.755,2.233,30,0,0,0,52,8,0,2.700,0,0,16,14,0
9,1423.98,1673.32,249.34,400.412,69.380,1.217,35,0,2,0,122,23,5,8.850,0,1,7,27,0
10,1673.32,1889.28,215.96,250.750,71.919,10.167,31,0,1,0,86,17,1,2.550,0,0,13,18,0
11,1889.28,2142.64,253.36,409.052,84.169,14.508,34,0,1,0,121,33,4,9.000,0,0,11,23,0
12,2142.64,2384.58,241.94,397.297,86.664,14.686,36,0,1,0,102,30,6,11.850,0,1,18,17,0
13,2384.58,2650.00,265.42,691.996,96.267,6.126,43,0,2,0,162,45,13,24.900,0,2,16,26,0
14,2650.00,2959.12,309.12,928.468,113.472,14.611,49,0,2,0,214,54,19,34.650,0,3,15,31,0
15,2959.12,3219.00,259.88,547.270,79.969,3.717,37,0,2,0,144,46,7,14.400,0,3,16,18,0
16,3219.00,3488.78,269.78,866.650,129.769,8.035,45,0,2,0,201,66,15,26.699,0,3,19,23,0
17,3488.78,3840.42,351.64,873.022,119.587,12.811,44,0,2,0,212,76,14,24.149,0,6,18,20,0
18,3840.42,4273.32,432.90,1698.634,170.275,18.291,61,0,3,0,387,132,31,56.848,0,15,15,31,0
19,4273.32,4640.80,367.48,982.204,118.504,16.696,48,0,3,0,247,74,18,31.799,0,7,14,27,0
20,4640.80,4980.50,339.70,952.668,103.253,12.980,47,0,4,0,230,72,17,34.199,0,8,21,18,0
21,4980.50,5317.72,337.22,846.073,111.911,13.022,43,0,3,0,209,76,13,28.349,0,5,17,21,0
22,5317.72,5812.50,494.78,1459.778,124.298,8.531,59,0,4,0,309,112,29,51.598,0,14,27,18,0
23,5812.50,6189.60,377.10,1444.051,147.585,27.610,59,0,4,0,340,93,29,51.748,0,8,9,42,0
24,6189.60,6564.38,374.78,1592.052,181.959,17.629,60,0,3,0,319,132,30,62.097,0,11,31,18,0
25,6564.38,7084.50,520.12,2360.394,173.104,15.596,77,0,5,0,440,175,47,86.412,0,17,38,22,0
26,7084.50,7547.06,462.56,1646.910,131.926,19.645,56,0,3,0,350,120,26,56.559,0,18,18,21,0
27,7547.06,7961.08,414.02,1668.105,149.597,15.638,58,0,3,0,307,129,28,65.411,0,8,33,17,0
28,7961.08,8472.34,511.26,3406.801,242.784,32.667,100,0,5,0,535,232,70,136.672,0,24,51,26,0
29,8472.34,9010.48,538.14,1723.809,174.508,17.204,63,0,5,0,353,112,33,58.510,0,12,21,30,0
30,9010.48,9299.46,288.98,1188.896,103.894,8.323,51,0,2,0,206,77,21,38.406,0,3,33,15,0
31,9299.46,9887.96,588.50,2721.063,178.625,17.079,78,0,5,0,499,197,48,100.816,0,26,36,17,0
32,9887.96,10174.46,286.50,864.912,102.177,15.630,44,0,3,0,178,55,14,31.355,0,2,22,20,0
33,10174.46,10811.60,637.14,3070.061,224.179,30.368,98,0,6,0,604,239,68,127.521,0,29,44,25,0
34,10811.60,11249.38,437.78,2672.543,244.441,34.083,96,0,5,0,485,222,66,136.822,0,16,59,21,0
35,11249.38,11942.00,692.62,2471.500,184.832,25.819,85,0,7,0,592,215,55,114.319,0,39,27,19,0
36,11942.00,12864.50,922.50,4217.996,350.749,49.497,140,0,10,0,797,362,110,213.485,0,29,82,29,0
