episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,49.98,49.98,32.016,54.330,2.150,30,0,0,0,7,1,0,0.000,0,0,24,6,0
2,49.98,209.06,159.08,75.824,66.790,12.033,30,0,0,0,19,4,0,0.000,0,0,25,5,0
3,209.06,386.26,177.20,104.702,56.203,5.358,30,0,0,0,28,8,0,0.000,0,0,25,5,0
4,386.26,544.14,157.88,175.033,53.901,2.733,31,0,1,0,40,12,1,3.000,0,0,25,6,0
5,544.14,699.24,155.10,190.524,59.437,2.383,30,0,0,0,52,19,0,0.000,0,0,25,5,0
6,699.24,839.24,140.00,231.133,63.024,0.500,33,0,1,0,60,16,3,4.500,0,0,20,13,0
7,839.24,1009.42,170.18,210.464,72.209,11.317,31,0,1,0,59,18,1,5.850,0,0,18,13,0
8,1009.42,1159.28,149.86,298.467,73.075,6.733,34,0,1,0,81,20,4,8.400,0,0,14,20,0
9,1159.28,1364.96,205.68,240.014,87.183,13.333,32,0,1,0,67,20,2,3.000,0,0,21,11,0
10,1364.96,1551.12,186.16,261.383,65.002,0.883,31,0,1,0,80,24,1,1.500,0,0,15,16,0
11,1551.12,1776.02,224.90,439.762,72.719,5.542,37,0,1,0,102,37,7,14.400,0,1,27,9,0
12,1776.02,1977.50,201.48,347.757,73.493,10.810,33,0,1,0,101,31,3,6.750,0,0,17,16,0
13,1977.50,2223.10,245.60,573.248,87.848,5.710,37,0,1,0,155,47,7,11.700,0,0,18,19,0
14,2223.10,2587.32,364.22,636.272,95.772,7.385,38,0,2,0,176,53,8,18.300,0,1,15,22,0
15,2587.32,2929.50,342.18,660.083,104.240,22.796,40,0,2,0,158,59,10,18.600,0,3,22,15,0
16,2929.50,3294.00,364.50,1306.868,152.383,16.437,53,0,3,0,301,97,23,44.700,0,11,18,25,0
17,3294.00,3620.50,326.50,1094.710,135.755,31.494,50,0,3,0,230,90,20,44.098,0,5,27,18,0
18,3620.50,3986.34,365.84,1283.512,140.879,22.919,52,0,3,0,281,107,22,55.198,0,11,19,22,0
19,3986.34,4338.98,352.64,1083.221,116.907,13.188,54,0,4,0,234,78,24,44.848,0,2,25,27,0
20,4338.98,4779.96,440.98,2397.210,207.826,34.042,79,0,4,0,467,178,49,99.746,0,27,25,27,0
21,4779.96,5150.00,370.04,889.766,105.213,11.664,43,0,2,0,213,75,13,30.899,0,9,21,13,0
22,5150.00,5579.98,429.98,737.610,103.424,12.505,40,0,3,0,204,63,10,19.499,0,7,20,13,0
23,5579.98,6095.34,515.36,1904.393,178.712,26.285,70,0,6,0,410,146,40,71.547,0,14,24,32,0
