episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,49.98,49.98,30.177,80.321,8.650,30,0,0,0,4,1,0,0.000,0,0,27,3,0
2,49.98,115.50,65.52,36.907,58.943,2.917,30,0,0,0,8,2,0,0.000,0,0,24,6,0
3,115.50,238.34,122.84,119.072,54.936,3.900,31,0,1,0,26,9,1,1.500,0,4,20,7,0
4,238.34,357.84,119.50,127.758,50.030,4.417,30,0,0,0,38,6,0,0.000,0,7,12,11,0
5,357.84,517.16,159.32,165.406,52.510,1.550,31,0,1,0,40,10,1,3.900,0,5,19,7,0
6,517.16,632.86,115.70,220.002,85.269,13.350,33,0,1,0,54,14,3,4.500,0,1,17,15,0
7,632.86,747.78,114.92,190.464,87.952,11.683,31,0,1,0,52,15,1,2.700,0,4,17,10,0
8,747.78,946.38,198.60,262.082,57.790,3.750,32,0,1,0,80,16,2,3.000,0,7,9,16,0
9,946.38,1061.52,115.14,226.004,46.549,1.017,31,0,1,0,67,16,1,2.850,0,9,17,5,0
10,1061.52,1271.76,210.24,243.685,51.480,2.575,32,0,1,0,68,17,2,5.400,0,13,15,4,0
11,1271.76,1391.40,119.64,237.409,49.759,7.575,30,0,0,0,75,20,0,4.500,0,13,12,5,0
12,1391.40,1640.28,248.88,493.068,59.692,5.559,38,0,2,0,124,27,8,16.050,0,20,7,11,0
13,1640.28,1855.98,215.70,295.212,72.832,9.869,34,0,2,0,79,19,4,7.500,0,8,15,11,0
14,1855.98,2067.28,211.30,443.917,68.925,9.894,36,0,2,0,112,35,6,11.850,0,17,11,8,0
15,2067.28,2370.94,303.66,396.732,47.076,8.260,33,0,2,0,107,32,3,7.650,0,21,10,2,0
16,2370.94,2594.40,223.46,466.002,61.154,17.811,36,0,2,0,117,36,6,13.500,0,19,14,3,0
17,2594.40,2769.18,174.78,528.311,58.966,15.778,36,0,1,0,131,41,6,20.250,0,21,6,9,0
18,2769.18,2941.96,172.78,511.968,48.043,4.266,36,0,1,0,126,40,6,15.750,0,20,12,4,0
19,2941.96,3141.28,199.32,480.758,58.018,4.141,35,0,1,0,128,39,5,14.850,0,19,8,8,0
20,3141.28,3393.22,251.94,435.925,62.984,12.289,35,0,2,0,117,35,5,13.349,0,17,12,6,0
21,3393.22,3595.78,202.56,527.450,56.939,10.639,36,0,1,0,132,42,6,16.349,0,22,8,6,0
22,3595.78,3841.46,245.68,643.165,66.662,4.366,41,0,2,0,153,46,11,21.149,0,23,13,5,0
23,3841.46,4038.82,197.36,729.455,67.481,7.656,42,0,2,0,158,56,12,26.399,0,24,10,8,0
24,4038.82,4304.62,265.80,573.254,63.227,13.338,37,0,2,0,135,43,7,26.249,0,20,13,4,0
25,4304.62,4588.16,283.54,697.966,61.853,12.589,41,0,2,0,163,52,11,20.249,0,24,10,7,0
26,4588.16,4771.54,183.38,552.126,59.138,8.056,37,0,1,0,134,47,7,19.649,0,21,11,5,0
27,4771.54,5101.48,329.94,807.807,63.503,18.021,43,0,3,0,184,63,13,25.049,0,33,5,5,0
28,5101.48,5378.50,277.02,1016.723,84.167,15.805,49,0,3,0,213,74,19,44.098,0,31,11,7,0
29,5378.50,5654.20,275.70,690.967,55.529,7.215,41,0,2,0,154,54,11,25.349,0,23,15,3,0
30,5654.20,5925.50,271.30,603.360,52.059,7.307,38,0,2,0,155,47,8,18.599,0,23,9,6,0
31,5925.50,6166.28,240.78,673.314,67.727,9.131,41,0,2,0,155,46,11,25.349,0,21,8,12,0
32,6166.28,6436.04,269.76,802.928,68.071,7.898,44,0,2,0,185,57,14,28.199,0,28,8,8,0
33,6436.04,6674.60,238.56,1006.251,72.630,12.039,47,0,2,0,199,78,17,42.298,0,34,10,4,0
34,6674.60,6941.34,266.74,903.475,66.989,8.698,46,0,3,0,199,66,16,37.801,0,31,11,4,0
35,6941.34,7207.60,266.26,742.571,47.757,4.774,40,0,2,0,158,62,10,28.655,0,29,8,3,0
36,7207.60,7450.16,242.56,902.961,63.882,5.065,44,0,2,0,164,66,14,30.005,0,24,16,4,0
37,7450.16,7783.88,333.72,1407.873,71.702,11.581,55,0,3,0,247,86,25,54.009,0,38,9,8,0
38,7783.88,8058.24,274.36,1277.289,84.607,24.436,52,0,2,0,229,79,22,42.007,0,39,7,6,0
39,8058.24,8308.28,250.04,904.826,62.510,7.806,43,0,2,0,175,61,13,31.655,0,27,7,9,0
40,8308.28,8532.26,223.98,1001.301,74.899,14.505,47,0,2,0,186,64,17,33.305,0,26,11,10,0
41,8532.26,8810.80,278.54,982.799,58.651,5.515,45,0,2,0,190,70,15,36.906,0,30,12,3,0
42,8810.80,9082.96,272.16,1034.176,51.324,5.349,45,0,2,0,195,73,15,36.756,0,32,8,5,0
43,9082.96,9363.22,280.26,1000.139,59.435,11.214,45,0,2,0,191,68,15,34.356,0,31,9,5,0
44,9363.22,9636.52,273.30,651.891,63.724,7.490,37,0,2,0,123,50,7,30.605,0,15,20,2,0
45,9636.52,9896.78,260.26,1087.902,78.198,9.423,48,0,2,0,204,65,18,39.906,0,30,8,10,0
46,9896.78,10169.70,272.92,982.697,57.925,14.496,44,0,2,0,181,66,14,37.356,0,36,6,2,0
47,10169.70,10506.46,336.76,1181.736,80.098,13.238,50,0,3,0,215,82,20,40.507,0,32,13,6,0
48,10506.46,10783.00,276.54,943.481,89.283,31.142,45,0,2,0,182,61,15,30.755,0,29,9,7,0
49,10783.00,11049.64,266.64,650.119,53.287,4.332,38,0,2,0,131,53,8,22.204,0,16,20,2,0
50,11049.64,11322.32,272.68,1166.813,60.468,15.038,47,0,2,0,214,83,17,45.007,0,39,6,2,0
51,11322.32,11594.74,272.42,1018.967,57.771,6.590,47,0,2,0,203,77,17,34.656,0,35,9,3,0
52,11594.74,11986.54,391.80,1310.215,70.751,11.306,60,0,4,0,276,113,30,61.660,0,46,5,9,0
53,11986.54,12251.26,264.72,1051.762,90.323,15.413,54,0,2,0,209,90,24,55.809,0,30,20,4,0
54,12251.26,12510.20,258.94,758.051,59.516,8.765,45,0,2,0,187,69,15,36.156,0,30,8,7,0
55,12510.20,12843.52,333.32,971.606,63.026,7.999,51,0,3,0,217,93,21,45.307,0,37,10,4,0
56,12843.52,13134.32,290.80,501.195,65.925,13.800,38,0,2,0,135,54,8,32.705,0,16,19,3,0
57,13134.32,13404.18,269.86,665.023,57.322,3.741,43,0,2,0,162,62,13,34.656,0,21,17,5,0
58,13404.18,13799.98,395.80,1294.465,99.587,27.884,62,0,4,0,282,110,32,62.110,0,43,14,5,0
59,13799.98,14051.18,251.20,849.750,68.749,8.407,48,0,2,0,195,70,18,39.156,0,32,7,9,0
60,14051.18,14345.90,294.72,986.121,65.999,9.257,52,0,2,0,214,85,22,54.159,0,34,16,2,0
61,14345.90,14681.58,335.68,904.438,78.871,14.793,50,0,3,0,205,77,20,46.508,0,31,10,9,0
62,14681.58,14960.36,278.78,1152.195,85.766,12.423,56,0,2,0,237,98,26,55.509,0,39,15,3,0
63,14960.36,15229.02,268.66,1010.141,106.826,25.513,53,0,2,0,205,89,23,46.508,0,35,15,3,0
64,15229.02,15644.84,415.82,1232.902,86.840,13.514,61,0,4,0,259,101,31,57.459,0,40,10,11,0
65,15644.84,15923.88,279.04,541.484,143.679,57.606,39,0,2,0,133,57,9,32.705,0,21,18,0,0
66,15923.88,16097.44,173.56,344.191,177.167,116.107,33,0,1,0,100,35,3,24.904,0,11,20,2,0
67,16097.44,16465.46,368.02,1148.652,69.022,9.632,56,0,3,0,253,92,26,54.459,0,39,13,4,0
68,16465.46,16756.12,290.66,631.824,69.529,14.307,41,0,2,0,163,62,11,34.206,0,30,11,0,0
69,16756.12,17154.70,398.58,1117.355,79.952,16.790,57,0,4,0,240,96,27,51.158,0,41,10,6,0
70,17154.70,17479.80,325.10,1118.910,70.409,8.965,56,0,3,0,257,94,26,52.959,0,41,7,9,0
71,17479.80,17796.72,316.92,778.211,70.113,10.116,46,0,3,0,189,73,16,37.954,0,34,8,4,0
72,17796.72,18121.34,324.62,1033.688,70.225,15.339,53,0,3,0,217,98,23,47.969,0,35,16,2,0
73,18121.34,18475.66,354.32,1041.820,71.078,14.948,52,0,3,0,229,100,22,53.515,0,43,7,2,0
74,18475.66,18746.86,271.20,648.293,69.579,14.892,42,0,3,0,163,64,12,36.726,0,26,12,4,0
75,18746.86,19014.46,267.60,711.594,63.357,11.348,44,0,2,0,167,71,14,42.123,0,26,16,2,0
76,19014.46,19317.20,302.74,1025.504,106.947,27.565,54,0,3,0,222,86,24,52.316,0,40,9,5,0
77,19317.20,19646.92,329.72,961.004,93.280,19.447,52,0,3,0,219,78,22,50.817,0,36,9,7,0
78,19646.92,20004.38,357.46,1120.082,63.197,13.274,56,0,3,0,246,98,26,55.314,0,45,10,1,0
79,20004.38,20361.98,357.60,1152.984,65.833,17.150,55,0,3,0,253,108,25,56.513,0,47,7,1,0
80,20361.98,20642.06,280.08,715.883,61.503,9.173,44,0,2,0,164,70,14,32.829,0,26,14,4,0
81,20642.06,20994.08,352.02,905.051,81.734,17.708,52,0,3,0,204,76,22,48.119,0,28,13,12,0
82,20994.08,21316.10,322.02,979.574,80.561,29.089,51,0,3,0,216,90,21,49.468,0,42,7,2,0
83,21316.10,21577.76,261.66,874.578,67.283,17.298,48,0,2,0,203,82,18,38.825,0,37,7,4,0
84,21577.76,21899.48,321.72,934.059,101.411,34.475,50,0,3,0,223,85,20,41.973,0,36,9,5,0
85,21899.48,22242.66,343.18,995.203,68.881,20.527,51,0,4,0,238,89,21,51.716,0,42,4,5,0
86,22242.66,22599.32,356.66,1078.383,80.442,18.481,54,0,3,0,235,97,24,56.663,0,41,10,3,0
87,22599.32,22977.40,378.08,1180.148,94.900,21.841,57,0,3,0,247,102,27,57.862,0,43,11,3,0
88,22977.40,23324.64,347.24,783.281,105.202,22.780,47,0,3,0,184,77,17,41.373,0,27,16,4,0
89,23324.64,23643.96,319.32,1158.469,78.993,17.205,56,0,3,0,249,97,26,59.511,0,46,6,4,0
90,23643.96,23922.50,278.54,844.242,62.060,18.431,46,0,2,0,201,82,16,41.823,0,38,8,0,0
91,23922.50,24185.68,263.18,890.867,59.497,13.003,48,0,2,0,205,86,18,45.121,0,34,8,6,0
92,24185.68,24468.22,282.54,685.180,69.232,14.208,44,0,2,0,145,72,14,31.779,0,23,18,3,0
93,24468.22,24799.72,331.50,970.531,65.702,11.420,51,0,4,0,212,96,21,48.868,0,36,12,3,0
94,24799.72,25246.60,446.88,1358.008,75.865,17.755,62,0,4,0,281,126,32,64.758,0,50,10,2,0
95,25246.60,25465.42,218.82,486.156,58.491,10.892,38,0,2,0,127,51,8,25.633,0,17,15,6,0
96,25465.42,25722.52,257.10,708.633,86.868,31.587,44,0,2,0,182,64,14,35.527,0,29,9,6,0
97,25722.52,26068.58,346.06,1179.188,72.799,13.193,57,0,3,0,238,111,27,62.959,0,44,9,4,0
98,26068.58,26486.20,417.62,1220.414,73.877,14.662,59,0,5,0,258,114,29,62.359,0,43,13,3,0
99,26486.20,26774.46,288.26,799.039,73.838,14.677,47,0,2,0,176,77,17,43.622,0,30,13,4,0
100,26774.46,27115.44,340.98,945.648,81.734,15.859,53,0,3,0,208,81,23,45.870,0,34,12,7,0
101,27115.44,27367.70,252.26,824.891,61.065,16.308,46,0,2,0,195,76,16,41.673,0,32,7,7,0
102,27367.70,27680.48,312.78,1097.805,63.391,10.954,54,0,3,0,234,107,24,52.316,0,41,8,5,0
