episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-350,Prey,-1,0,16.054,0.963,2.782,106.820,33.341,Starvation,-1.966041
0,-490,Prey,-1,0,18.177,1.401,1.648,98.854,33.341,Starvation,-1.016044
0,-630,Prey,-1,0,18.011,1.255,2.803,108.242,33.341,Starvation,-10.68324
0,-770,Prey,-1,0,10.368,1.192,2.170,97.362,33.341,Starvation,0.509771
0,-910,Prey,-1,0,14.065,1.484,3.321,97.011,33.341,Starvation,-5.166022
0,-1050,Prey,-1,0,19.816,1.091,3.487,112.209,33.341,Starvation,-2.832724
0,-1190,Prey,-1,0,17.127,1.450,2.458,110.148,33.341,Starvation,-1.016044
0,-1470,Prey,-1,0,10.765,1.185,2.774,106.245,33.341,Starvation,-1.166041
0,-1610,Prey,-1,0,12.476,1.314,3.258,115.792,33.341,Starvation,-1.966038
0,-1750,Prey,-1,0,13.201,0.985,1.728,97.380,33.341,Starvation,-1.016044
0,-1890,Prey,-1,0,10.247,1.092,1.839,109.268,33.341,Starvation,-1.016044
0,-2030,Prey,-1,0,10.564,1.268,3.117,105.214,33.341,Starvation,-1.016044
0,-2170,Prey,-1,0,16.989,1.198,2.946,99.892,33.341,Starvation,-1.349378
0,-2310,Prey,-1,0,13.927,1.286,3.174,91.581,33.341,Starvation,-1.182711
0,-2590,Prey,-1,0,14.472,0.961,2.130,102.792,33.341,Starvation,-3.516024
0,-2730,Prey,-1,0,11.700,0.910,3.019,101.810,33.341,Starvation,-1.883107
0,-2870,Prey,-1,0,18.070,1.104,2.168,106.508,33.341,Starvation,-1.266042
0,-3010,Prey,-1,0,16.260,0.967,2.275,103.212,33.341,Starvation,-3.116043
0,-3150,Prey,-1,0,18.748,1.244,1.728,116.437,33.341,Starvation,-1.849374
0,-3290,Prey,-1,0,10.797,1.056,2.396,105.180,33.341,Starvation,-1.932705
0,-3430,Prey,-1,0,12.877,1.369,3.269,115.045,33.341,Starvation,-1.516042
0,-3850,Prey,-1,0,19.087,1.198,3.416,108.103,33.341,Starvation,-1.016044
0,-3990,Prey,-1,0,10.135,1.498,2.485,106.460,33.341,Starvation,-1.032711
0,-4130,Prey,-1,0,17.466,1.336,2.542,116.001,33.341,Starvation,-1.016044
0,-4270,Prey,-1,0,17.455,1.345,3.255,108.673,33.341,Starvation,-1.016044
0,-202,Prey,-1,0,16.184,1.041,2.912,101.868,33.341,Starvation,-0.1118344
