episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-490,Prey,-1,0,11.176,1.318,2.926,117.175,33.341,Starvation,-1.016044
0,-630,Prey,-1,0,10.803,1.307,2.406,115.401,33.341,Starvation,-1.016044
0,-770,Prey,-1,0,11.473,1.231,2.205,107.567,33.341,Starvation,-1.099379
0,-910,Prey,-1,0,12.927,1.135,2.732,112.814,33.341,Starvation,-1.016044
0,-1050,Prey,-1,0,10.148,1.335,2.321,115.720,33.341,Starvation,-1.016044
0,-1190,Prey,-1,0,15.921,0.983,2.824,105.747,33.341,Starvation,-2.516062
0,-1470,Prey,-1,0,16.941,0.894,3.110,112.769,33.341,Starvation,1.116485
0,-1750,Prey,-1,0,12.964,0.814,3.130,114.873,33.341,Starvation,-4.182685
0,-2030,Prey,-1,0,10.897,1.022,3.005,119.193,33.341,Starvation,-1.266043
0,-2310,Prey,-1,0,15.850,1.420,2.550,115.625,33.341,Starvation,0.1923848
0,-2450,Prey,-1,0,12.960,1.087,1.593,105.546,33.341,Starvation,-1.016044
0,-2590,Prey,-1,0,10.106,1.474,3.226,102.028,33.341,Starvation,-1.166046
0,-2730,Prey,-1,0,11.727,1.238,3.416,99.855,33.341,Starvation,-2.382729
0,-2870,Prey,-1,0,16.881,1.417,2.583,101.475,33.341,Starvation,-1.016044
0,-3010,Prey,-1,0,18.116,1.196,2.830,108.122,33.341,Starvation,-1.016044
0,-3290,Prey,-1,0,19.541,1.436,1.516,98.230,33.341,Starvation,-1.016044
0,-3850,Prey,-1,0,16.457,1.348,2.347,92.646,33.341,Starvation,-1.016044
0,-202,Prey,-1,0,10.286,0.956,2.248,113.338,33.341,Starvation,-0.6983142
0,-2170,Prey,-1,0,18.147,1.117,1.970,104.732,36.861,Starvation,-0.5472814
0,-3430,Prey,-1,0,10.319,0.920,2.285,108.190,40.421,Starvation,-2.015806
0,-1330,Prey,-1,0,14.797,0.842,2.687,112.100,40.661,Starvation,-1.070511
0,-1890,Prey,-1,0,14.563,1.412,2.854,98.207,40.681,Starvation,-0.7470779
0,-3150,Prey,-1,0,13.779,0.970,3.110,101.805,46.441,Starvation,-0.5276764
0,-350,Prey,-1,0,12.783,1.037,2.496,97.770,50.001,Dehydration,-1.182219
0,-1610,Prey,-1,0,14.292,1.032,1.779,94.879,50.001,Dehydration,-3.05337
0,-3570,Prey,-1,0,13.145,1.333,2.046,106.720,50.001,Dehydration,0.2659197
0,-3710,Prey,-1,0,14.850,0.891,2.174,107.792,50.001,Dehydration,0.1885886
0,-3990,Prey,-1,0,17.767,0.840,3.385,100.611,50.001,Dehydration,0.5743353
0,-4130,Prey,-1,0,14.676,1.265,2.965,116.346,50.001,Dehydration,-0.1877495
0,-4270,Prey,-1,0,13.160,1.354,3.478,92.491,50.001,Dehydration,0.03624845
1,-7002,Prey,-1,0,18.156,0.917,2.079,111.913,33.341,Starvation,-1.266042
1,-7142,Prey,-1,0,16.322,1.484,2.651,104.984,33.341,Starvation,-1.016044
1,-7422,Prey,-1,0,14.896,0.995,2.500,100.781,33.341,Starvation,-2.332716
1,-7562,Prey,-1,0,14.091,1.177,3.414,104.162,33.341,Starvation,-1.23271
1,-7702,Prey,-1,0,16.707,1.017,2.596,118.036,33.341,Starvation,-0.4160426
1,-8122,Prey,-1,0,10.561,1.185,3.176,95.563,33.341,Starvation,-2.866064
1,-8402,Prey,-1,0,14.325,1.337,2.919,109.810,33.341,Starvation,0.8168807
1,-8822,Prey,-1,0,10.433,0.945,3.032,111.730,33.341,Starvation,0.8168731
1,-9522,Prey,-1,0,17.408,1.020,2.038,114.405,33.341,Starvation,0.5168734
1,-9662,Prey,-1,0,10.792,1.069,3.324,110.050,33.341,Starvation,-1.016044
1,-9802,Prey,-1,0,18.825,0.910,3.210,107.801,33.341,Starvation,-1.016044
1,-9942,Prey,-1,0,11.149,1.171,2.378,98.353,33.341,Starvation,-1.016044
1,-10082,Prey,-1,0,15.176,1.150,2.120,104.769,33.341,Starvation,-1.166043
1,-10362,Prey,-1,0,13.992,0.991,2.645,100.706,33.341,Starvation,-1.016044
1,-10502,Prey,-1,0,11.760,1.494,1.965,103.875,33.341,Starvation,-1.799374
1,-9242,Prey,-1,0,10.805,1.450,3.478,114.114,40.661,Starvation,0.1547773
1,-6722,Prey,-1,0,10.083,1.379,2.470,102.660,45.041,Starvation,0.3424842
1,-6582,Prey,-1,0,15.860,0.985,2.200,96.908,46.201,Starvation,-0.5426018
1,-8962,Prey,-1,0,11.775,1.258,2.971,114.206,50.001,Dehydration,0.6474849
1,-10222,Prey,-1,0,14.201,0.855,2.655,94.581,50.001,Dehydration,0.219061
1,-10642,Prey,-1,0,11.953,0.898,2.526,107.134,50.001,Dehydration,-0.05028898
1,-7282,Prey,-1,0,18.307,0.924,2.988,92.426,50.581,Starvation,2.127061
1,-9382,Prey,-1,0,19.629,1.123,1.849,91.942,52.841,Starvation,3.592388
