episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,49.98,49.98,30.979,60.387,5.017,30,0,0,0,7,0,0,0.000,0,0,23,7,0
2,49.98,130.02,80.04,76.504,53.289,6.125,30,0,0,0,13,8,0,0.000,0,0,27,3,0
3,130.02,240.64,110.62,106.698,54.602,4.800,30,0,0,0,23,8,0,0.000,0,1,24,5,0
4,240.64,357.62,116.98,129.143,59.615,8.408,30,0,0,0,38,5,0,0.000,0,5,15,10,0
5,357.62,517.32,159.70,235.203,68.218,13.641,34,0,1,0,47,16,4,8.250,0,3,28,3,0
6,517.32,674.36,157.04,247.875,74.250,14.050,34,0,1,0,54,15,4,6.000,0,3,21,10,0
7,674.36,819.56,145.20,278.284,51.974,5.617,32,0,1,0,75,25,2,4.200,0,10,13,9,0
8,819.56,1034.12,214.56,235.419,49.547,6.475,31,0,1,0,66,22,1,2.850,0,11,15,5,0
9,1034.12,1248.38,214.26,347.640,57.815,11.219,33,0,1,0,98,23,3,9.600,0,14,11,8,0
10,1248.38,1455.92,207.54,385.367,81.276,16.353,36,0,2,0,102,25,6,9.000,0,9,14,13,0
11,1455.92,1664.44,208.52,429.257,62.683,14.260,34,0,1,0,118,33,4,10.350,0,17,9,8,0
12,1664.44,1877.44,213.00,467.242,53.668,7.368,35,0,1,0,120,37,5,15.600,0,19,9,7,0
13,1877.44,2070.50,193.06,339.710,55.366,12.486,32,0,1,0,98,27,2,7.350,0,14,9,9,0
14,2070.50,2273.00,202.50,452.879,39.089,2.984,34,0,1,0,124,37,4,13.200,0,20,8,6,0
15,2273.00,2469.04,196.04,424.796,55.197,11.614,34,0,1,0,115,36,4,13.650,0,18,11,5,0
16,2469.04,2765.70,296.66,615.778,54.734,6.148,39,0,3,0,148,48,9,21.450,0,22,11,6,0
17,2765.70,2973.98,208.28,583.210,57.661,7.090,39,0,1,0,135,46,9,16.650,0,20,11,8,0
18,2973.98,3269.76,295.78,762.788,60.006,8.406,42,0,2,0,173,56,12,30.899,0,30,11,1,0
19,3269.76,3552.74,282.98,726.833,61.331,7.831,42,0,2,0,157,57,12,28.649,0,26,13,3,0
20,3552.74,3761.30,208.56,523.690,53.426,11.972,35,0,1,0,135,45,5,20.999,0,23,7,5,0
21,3761.30,3953.92,192.62,696.850,62.359,10.039,41,0,1,0,156,55,11,21.899,0,26,8,7,0
22,3953.92,4153.52,199.60,810.440,57.768,15.705,41,0,1,0,177,64,11,40.348,0,34,6,1,0
23,4153.52,4435.72,282.20,810.069,54.703,7.132,43,0,2,0,178,65,13,28.649,0,31,8,4,0
24,4435.72,4704.02,268.30,854.918,64.914,7.898,46,0,2,0,179,62,16,30.149,0,31,8,7,0
25,4704.02,4919.84,215.82,393.678,48.805,7.573,33,0,1,0,105,29,3,9.300,0,16,11,6,0
26,4919.84,5175.66,255.82,689.763,56.259,8.873,40,0,2,0,158,62,10,19.949,0,25,11,4,0
27,5175.66,5437.34,261.68,604.979,50.142,6.482,38,0,2,0,131,56,8,25.349,0,21,16,1,0
28,5437.34,5711.52,274.18,751.750,86.839,18.437,43,0,2,0,178,51,13,33.599,0,20,10,13,0
