episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-350,Prey,-1,0,12.684,1.150,2.430,201.989,33.341,Starvation,-1.299378
0,-630,Prey,-1,0,16.239,1.058,3.005,205.978,33.341,Starvation,-1.649374
0,-770,Prey,-1,0,15.478,1.364,2.249,244.134,33.341,Starvation,-1.016044
0,-910,Prey,-1,0,12.613,0.897,2.936,236.488,33.341,Starvation,-0.7160437
0,-1050,Prey,-1,0,19.637,1.404,2.894,232.459,33.341,Starvation,-1.016044
0,-1190,Prey,-1,0,19.980,1.119,2.461,216.279,33.341,Starvation,-1.016044
0,-1330,Prey,-1,0,17.113,0.917,3.000,204.972,33.341,Starvation,-1.399377
0,-1610,Prey,-1,0,15.113,1.111,2.244,219.223,33.341,Starvation,-1.766041
0,-1890,Prey,-1,0,12.526,0.954,2.723,205.408,33.341,Starvation,-2.016042
0,-2030,Prey,-1,0,14.538,1.296,2.730,200.279,33.341,Starvation,-2.232721
0,-2170,Prey,-1,0,11.115,1.314,2.592,242.752,33.341,Starvation,-1.582708
0,-2310,Prey,-1,0,13.353,1.372,1.518,220.229,33.341,Starvation,-2.582713
0,-2450,Prey,-1,0,12.563,1.453,2.750,208.441,33.341,Starvation,-1.782707
0,-2590,Prey,-1,0,12.699,1.171,2.272,216.426,33.341,Starvation,-1.666041
0,-2730,Prey,-1,0,13.513,1.019,1.576,230.788,33.341,Starvation,-1.016044
0,-2870,Prey,-1,0,13.858,1.253,1.628,245.702,33.341,Starvation,-7.016017
0,-3010,Prey,-1,0,14.885,1.109,3.210,216.607,33.341,Starvation,-3.01606
0,-3430,Prey,-1,0,16.278,1.027,1.591,238.578,33.341,Starvation,-1.599374
0,-3710,Prey,-1,0,17.144,0.892,2.089,229.522,33.341,Starvation,-1.016044
0,-3850,Prey,-1,0,18.020,0.870,1.645,241.810,33.341,Starvation,-1.016044
0,-4270,Prey,-1,0,16.994,1.149,2.150,242.743,33.341,Starvation,-4.04938
0,-202,Prey,-1,0,15.772,1.064,3.130,222.247,33.341,Starvation,-6.015017
0,-3290,Prey,-1,0,10.829,1.479,2.967,232.245,39.961,Starvation,-2.578383
0,-3570,Prey,-1,0,18.338,1.278,1.994,224.314,40.661,Starvation,-3.224129
0,-4130,Prey,-1,0,17.688,1.460,3.312,205.333,41.281,Starvation,-2.753807
0,-1750,Prey,-1,0,16.164,0.840,3.378,221.135,44.001,Starvation,-0.2269257
0,-490,Prey,-1,0,18.751,1.101,3.495,220.559,47.301,Starvation,1.026695
0,-1470,Prey,-1,0,10.080,1.439,1.581,206.164,50.001,Dehydration,-0.1852164
0,-3990,Prey,-1,0,19.370,1.351,1.912,226.740,50.001,Dehydration,-9.212894
0,-3150,Prey,-1,0,11.982,0.871,3.368,207.891,53.141,Starvation,1.192207
1,-6722,Prey,-1,0,16.120,1.486,3.188,247.520,33.341,Starvation,-1.016044
1,-7002,Prey,-1,0,12.102,1.462,1.674,206.919,33.341,Starvation,-1.016044
1,-7282,Prey,-1,0,19.738,1.254,3.142,206.486,33.341,Starvation,-1.016044
1,-7842,Prey,-1,0,14.093,1.457,1.662,224.250,33.341,Starvation,-1.016044
1,-7982,Prey,-1,0,15.893,1.066,3.291,217.321,33.341,Starvation,-1.349376
1,-8262,Prey,-1,0,16.088,1.481,3.079,231.751,33.341,Starvation,-1.016044
1,-8542,Prey,-1,0,11.865,1.364,2.951,234.139,33.341,Starvation,0.5168734
1,-8682,Prey,-1,0,15.542,1.320,2.514,237.904,33.341,Starvation,-1.249376
1,-8822,Prey,-1,0,15.337,1.007,2.760,208.718,33.341,Starvation,-1.132712
1,-9242,Prey,-1,0,12.099,1.401,1.638,239.018,33.341,Starvation,-1.016044
1,-9382,Prey,-1,0,16.008,0.917,2.651,241.254,33.341,Starvation,-0.6167538
1,-9662,Prey,-1,0,11.956,1.205,3.452,241.063,33.341,Starvation,-1.016044
1,-9942,Prey,-1,0,12.760,1.205,2.702,238.891,33.341,Starvation,0.1839558
1,-10082,Prey,-1,0,17.736,1.165,3.002,232.616,33.341,Starvation,-1.016044
1,-10502,Prey,-1,0,16.835,0.997,1.847,221.415,33.341,Starvation,-1.016044
1,-10642,Prey,-1,0,12.132,1.054,3.034,203.541,33.341,Starvation,-0.09288782
1,-7702,Prey,-1,0,10.156,0.827,3.448,217.604,46.261,Starvation,0.4998304
1,-9102,Prey,-1,0,10.976,1.499,3.412,229.843,46.901,Starvation,-4.540171
1,-7422,Prey,-1,0,17.993,1.079,2.796,230.340,50.001,Dehydration,0.4512765
1,-7562,Prey,-1,0,11.628,1.100,2.343,205.651,50.001,Dehydration,0.5713164
1,-9802,Prey,-1,0,13.508,1.068,1.638,214.623,50.001,Dehydration,1.951103
1,-10222,Prey,-1,0,18.737,0.848,3.040,226.925,50.001,Dehydration,-0.3206874
1,-10362,Prey,-1,0,14.029,1.034,1.553,223.566,50.001,Dehydration,0.3816975
1,-8962,Prey,-1,0,18.858,0.957,2.993,217.485,55.001,Starvation,1.550324
1,-7142,Prey,-1,0,11.475,1.377,2.046,232.867,55.281,Starvation,0.6817218
1,-6862,Prey,-1,0,18.345,1.059,1.695,237.932,83.518,Starvation,5.53941
1,-8402,Prey,-1,0,10.126,1.250,1.521,239.945,87.497,Starvation,7.670059
1,-6582,Prey,-1,0,18.143,1.036,3.052,205.957,95.736,Dehydration,4.3827
1,-8122,Prey,-1,0,16.368,0.982,1.920,231.412,103.195,Starvation,9.257853
1,-9522,Prey,-1,0,19.594,0.983,2.358,224.181,224.191,Natural,30.65208
2,-12768,Prey,-1,0,10.208,0.885,1.752,204.646,33.341,Starvation,0.2168772
2,-13748,Prey,-1,0,11.249,1.046,3.194,225.167,33.341,Starvation,-1.366042
2,-15428,Prey,-1,0,11.132,1.395,2.876,242.836,33.341,Starvation,-0.09022433
2,-15568,Prey,-1,0,13.202,1.158,3.417,245.378,33.341,Starvation,-1.016044
2,-15988,Prey,-1,0,13.673,1.039,2.652,247.862,33.341,Starvation,-0.4160432
2,-12908,Prey,-1,0,18.687,1.002,2.694,238.044,40.661,Starvation,-0.2268407
2,-16268,Prey,-1,0,17.660,1.406,3.344,241.282,47.881,Starvation,3.443863
2,-13888,Prey,-1,0,19.293,1.017,3.449,207.183,47.981,Starvation,1.35935
2,-15148,Prey,-1,0,16.746,1.128,2.113,234.162,47.981,Starvation,-0.5168679
2,-15848,Prey,-1,0,18.689,1.493,2.321,234.477,47.981,Starvation,-0.374212
2,-12208,Prey,-1,0,18.220,1.306,2.488,249.801,50.001,Dehydration,1.228398
2,-12348,Prey,-1,0,12.586,1.340,2.528,216.606,50.001,Dehydration,-0.5201331
2,-12628,Prey,-1,0,11.745,1.375,2.438,243.738,50.001,Dehydration,-0.09008867
2,-14588,Prey,-1,0,18.168,1.364,1.758,224.107,50.001,Dehydration,2.224614
2,-14728,Prey,-1,0,15.900,1.078,2.909,226.701,50.001,Dehydration,2.5446
2,-15288,Prey,-1,0,11.091,1.306,3.338,236.274,50.001,Dehydration,1.778978
2,-14448,Prey,-1,0,17.138,0.835,2.621,243.674,50.601,Starvation,1.857997
2,-13188,Prey,-1,0,11.926,1.248,3.207,210.499,55.281,Starvation,-0.3837838
2,-16128,Prey,-1,0,12.507,1.337,3.482,205.503,56.761,Starvation,1.26203
2,-12488,Prey,-1,0,19.459,1.158,3.448,226.396,58.481,Starvation,2.541235
2,-14868,Prey,-1,0,19.827,0.936,1.576,230.663,58.541,Starvation,1.771578
2,-13468,Prey,-1,0,13.121,1.287,2.012,207.466,61.461,Dehydration,-0.7508938
2,-13328,Prey,-1,0,16.238,0.842,3.423,222.594,69.640,Starvation,12.0764
2,-15008,Prey,-1,0,13.630,1.058,3.087,238.738,70.440,Starvation,2.094393
2,-14308,Prey,-1,0,19.574,1.014,2.432,222.525,83.458,Starvation,4.719269
2,-14168,Prey,-1,0,10.999,0.893,3.304,207.951,94.596,Starvation,6.882859
2,-13048,Prey,-1,0,16.051,1.286,2.050,200.683,99.415,Dehydration,6.233999
2,-14028,Prey,-1,0,18.766,0.851,2.052,241.966,109.154,Starvation,15.93303
2,-16408,Prey,[-13328 -14028],1,17.384,0.811,2.762,200.000,68.481,Starvation,0.5824372
2,-13608,Prey,-1,0,17.721,1.472,1.710,208.622,140.913,Starvation,12.78597
2,-15708,Prey,-1,0,12.667,0.810,2.837,201.583,160.518,Starvation,14.13984
3,-18228,Prey,-1,0,11.954,1.144,2.346,225.046,33.341,Starvation,-0.9160424
3,-18368,Prey,-1,0,10.734,1.322,2.597,204.725,33.341,Starvation,-1.116044
3,-19768,Prey,-1,0,13.679,1.099,2.688,210.548,33.341,Starvation,-0.4418422
3,-20468,Prey,-1,0,18.740,0.929,2.667,246.552,33.341,Starvation,-0.4160427
3,-19348,Prey,-1,0,13.532,1.307,3.200,215.158,41.981,Starvation,1.685625
3,-18928,Prey,-1,0,14.945,1.266,2.029,238.213,43.021,Starvation,0.42054
