episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,53.12,53.12,26.401,88.841,15.833,30,0,0,0,3,0,0,0.000,0,0,29,2,0
2,53.12,277.30,224.18,101.633,56.411,1.333,30,0,0,0,21,5,0,0.000,0,1,23,6,0
3,277.30,437.82,160.52,149.927,59.903,1.183,31,0,1,0,37,13,1,1.500,0,0,23,8,0
4,437.82,548.46,110.64,159.517,63.067,3.850,31,0,1,0,41,14,1,2.550,0,0,20,11,0
5,548.46,716.82,168.36,197.086,64.085,0.967,30,0,0,0,61,12,0,1.500,0,0,19,11,0
6,716.82,898.32,181.50,171.186,63.663,2.133,32,0,1,0,42,15,2,3.000,0,0,22,10,0
7,898.32,1072.04,173.72,208.259,76.822,13.966,31,0,1,0,66,13,1,4.050,0,0,15,16,0
8,1072.04,1298.84,226.80,216.260,63.690,2.133,31,0,1,0,62,18,1,3.300,0,2,21,8,0
9,1298.84,1499.22,200.38,325.270,64.069,0.950,33,0,2,0,88,31,3,5.400,0,1,22,10,0
10,1499.22,1696.72,197.50,280.944,73.562,6.575,33,0,2,0,86,17,3,5.850,0,0,13,20,0
11,1696.72,1901.64,204.92,307.375,71.093,5.283,31,0,1,0,105,26,1,4.200,0,1,9,21,0
12,1901.64,2069.44,167.80,320.349,76.612,4.300,33,0,1,0,94,24,3,8.400,0,0,13,20,0
13,2069.44,2236.76,167.32,423.463,81.625,13.952,35,0,1,0,115,27,5,12.600,0,0,14,21,0
14,2236.76,2461.18,224.42,348.966,77.418,9.877,33,0,1,0,106,27,3,7.200,0,2,12,19,0
15,2461.18,2706.80,245.62,607.831,85.112,12.561,37,0,1,0,165,52,7,17.100,0,2,14,21,0
16,2706.80,2998.08,291.28,975.809,134.382,17.595,49,0,2,0,213,65,19,31.350,0,1,20,28,0
17,2998.08,3300.00,301.92,817.655,118.315,5.576,41,0,2,0,211,71,11,21.600,0,6,14,21,0
18,3300.00,3660.36,360.36,857.764,131.522,11.185,43,0,2,0,213,66,13,27.749,0,6,18,19,0
19,3660.36,4055.00,394.64,1440.944,168.649,11.089,59,0,3,0,305,108,29,52.048,0,11,28,20,0
20,4055.00,4369.20,314.20,894.200,115.626,6.290,46,0,3,0,221,66,16,27.449,0,3,16,27,0
21,4369.20,4722.56,353.36,590.030,89.328,7.573,39,0,3,0,147,46,9,18.299,0,2,18,19,0
22,4722.56,5068.24,345.68,1527.595,153.062,15.671,60,0,3,0,323,109,30,59.548,0,6,18,36,0
23,5068.24,5458.94,390.70,842.534,114.198,7.348,44,0,3,0,215,68,14,28.799,0,5,21,18,0
24,5458.94,5858.00,399.06,1433.122,138.531,10.614,58,0,3,0,324,110,28,49.498,0,13,21,24,0
25,5858.00,6192.54,334.54,1013.281,137.941,28.285,47,0,3,0,255,75,17,37.198,0,6,12,29,0
26,6192.54,6618.52,425.98,1364.120,129.652,19.529,55,0,4,0,295,116,25,48.748,0,9,28,18,0
27,6618.52,7111.60,493.08,2397.197,194.304,20.378,77,0,5,0,445,177,47,87.758,0,23,35,19,0
28,7111.60,7536.46,424.86,1156.492,101.471,10.956,44,0,3,0,275,88,14,35.106,0,12,9,23,0
29,7536.46,7889.78,353.32,1103.260,109.136,13.263,48,0,3,0,220,73,18,36.306,0,4,27,17,0
30,7889.78,8485.60,595.82,2555.219,202.523,26.302,79,0,6,0,443,186,49,99.316,0,21,40,18,0
31,8485.60,8936.54,450.94,2085.273,161.902,31.692,65,0,4,0,391,156,35,78.013,0,18,26,21,0
32,8936.54,9511.48,574.94,2955.627,208.671,27.835,88,0,7,0,514,200,58,102.917,0,22,35,32,0
33,9511.48,10069.62,558.14,2178.211,173.824,25.302,68,0,5,0,408,162,38,81.613,0,17,32,19,0
34,10069.62,10593.20,523.58,1825.627,131.149,20.912,60,0,4,0,372,131,30,60.310,0,13,25,22,0
35,10593.20,11092.42,499.22,2717.764,221.604,30.168,94,0,6,0,450,219,64,133.972,0,17,63,14,0
36,11092.42,11889.60,797.18,2533.008,216.518,32.984,89,0,8,0,591,234,59,132.022,0,36,35,18,0
37,11889.60,12536.34,646.74,4039.070,315.758,57.989,132,0,7,0,726,323,102,193.532,0,32,74,27,0
