episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,49.98,49.98,23.543,63.254,7.300,30,0,0,0,1,0,0,0.000,0,0,28,2,0
2,49.98,120.32,70.34,59.921,60.960,10.183,30,0,0,0,14,4,0,0.000,0,0,27,3,0
3,120.32,226.46,106.14,63.321,52.956,4.317,30,0,0,0,14,2,0,0.000,0,0,23,7,0
4,226.46,367.32,140.86,117.442,58.045,2.967,30,0,0,0,30,7,0,1.200,0,0,21,9,0
5,367.32,604.72,237.40,184.381,59.058,0.400,31,0,1,0,52,15,1,1.500,0,1,18,12,0
6,604.72,745.58,140.86,208.149,59.139,2.667,31,0,1,0,62,15,1,3.000,0,0,16,15,0
7,745.58,923.98,178.40,213.085,63.076,2.542,30,0,0,0,72,20,0,0.600,0,0,16,14,0
8,923.98,1111.16,187.18,213.361,68.825,4.583,32,0,1,0,57,18,2,4.200,0,0,20,12,0
9,1111.16,1282.98,171.82,282.000,79.328,13.516,32,0,1,0,83,25,2,11.250,0,0,16,16,0
10,1282.98,1456.82,173.84,305.965,69.094,6.142,34,0,1,0,80,25,4,8.550,0,0,20,14,0
11,1456.82,1631.54,174.72,286.678,75.994,4.033,33,0,1,0,79,23,3,4.500,0,0,19,14,0
12,1631.54,1889.72,258.18,516.211,76.294,4.733,37,0,2,0,134,40,7,15.600,0,1,18,19,0
13,1889.72,2048.78,159.06,374.904,187.469,103.979,34,0,1,0,117,24,4,7.500,0,0,11,23,0
14,2048.78,2322.00,273.22,640.370,102.905,9.606,40,0,2,0,165,49,10,16.200,0,3,13,24,0
15,2322.00,2587.10,265.10,535.868,85.484,9.014,35,0,2,0,162,44,5,12.900,0,1,14,20,0
16,2587.10,2825.98,238.88,547.046,85.782,6.907,39,0,2,0,138,47,9,15.600,0,0,18,21,0
17,2825.98,3133.50,307.52,609.139,98.850,14.780,37,0,1,0,170,54,7,15.750,0,3,17,17,0
18,3133.50,3463.00,329.50,943.332,110.644,10.056,44,0,3,0,237,78,14,28.349,0,11,15,18,0
19,3463.00,3739.84,276.84,595.270,97.821,15.713,38,0,2,0,147,54,8,21.899,0,2,23,13,0
20,3739.84,4128.32,388.48,1013.566,133.603,21.478,48,0,3,0,252,75,18,33.449,0,4,14,30,0
21,4128.32,4411.24,282.92,883.231,159.426,40.049,46,0,2,0,204,64,16,32.099,0,3,21,22,0
22,4411.24,4756.00,344.76,478.264,86.816,12.664,38,0,2,0,112,42,8,13.949,0,1,25,12,0
23,4756.00,5110.00,354.00,1756.939,192.399,19.054,69,0,4,0,319,128,39,77.847,0,7,34,28,0
24,5110.00,5353.34,243.34,559.204,76.453,9.964,39,0,2,0,130,40,9,23.099,0,1,24,14,0
25,5353.34,5664.00,310.66,1087.160,114.840,9.073,52,0,4,0,236,76,22,43.348,0,4,18,30,0
26,5664.00,6127.74,463.74,2179.760,191.103,20.320,77,0,5,0,430,143,47,98.246,0,13,25,39,0
27,6127.74,6514.10,386.36,1255.421,149.972,22.103,54,0,4,0,291,99,24,47.253,0,9,22,23,0
28,6514.10,7118.96,604.86,2215.058,166.131,18.687,72,0,4,0,446,164,42,75.762,0,22,32,18,0
29,7118.96,7759.98,641.02,2686.645,216.846,23.544,82,0,7,0,506,182,52,90.615,0,21,28,33,0
30,7759.98,8117.06,357.08,1245.008,117.659,21.128,47,0,3,0,270,91,17,42.757,0,12,18,17,0
