episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-350,Prey,-1,0,10.799,0.822,2.240,217.631,33.341,Starvation,-1.016044
0,-490,Prey,-1,0,19.395,1.004,3.462,221.898,33.341,Starvation,-1.016044
0,-630,Prey,-1,0,15.815,1.264,2.235,226.618,33.341,Starvation,-1.016044
0,-770,Prey,-1,0,14.899,0.843,3.000,248.672,33.341,Starvation,-1.399377
0,-910,Prey,-1,0,17.798,1.265,3.189,222.175,33.341,Starvation,-1.082712
0,-1050,Prey,-1,0,11.803,1.274,2.594,203.221,33.341,Starvation,-1.016044
0,-1190,Prey,-1,0,11.197,1.206,2.233,234.747,33.341,Starvation,-1.116045
0,-1470,Prey,-1,0,15.560,1.059,2.263,229.580,33.341,Starvation,-1.016044
0,-1610,Prey,-1,0,12.295,0.895,1.525,209.136,33.341,Starvation,-2.657706
0,-1750,Prey,-1,0,19.065,1.190,3.056,215.116,33.341,Starvation,-1.016044
0,-2030,Prey,-1,0,11.766,0.810,3.307,249.890,33.341,Starvation,-1.016044
0,-2170,Prey,-1,0,14.838,1.133,1.716,230.907,33.341,Starvation,-1.047696
0,-2310,Prey,-1,0,17.025,1.014,3.279,218.762,33.341,Starvation,1.116884
0,-2450,Prey,-1,0,19.968,0.970,2.290,229.945,33.341,Starvation,-1.232706
0,-2590,Prey,-1,0,11.373,1.219,2.086,212.742,33.341,Starvation,-1.016044
0,-2730,Prey,-1,0,14.074,0.804,3.307,246.745,33.341,Starvation,-1.016044
0,-2870,Prey,-1,0,19.202,1.121,2.018,214.029,33.341,Starvation,-1.066045
0,-3010,Prey,-1,0,12.996,1.493,2.686,211.961,33.341,Starvation,-2.582712
0,-3150,Prey,-1,0,17.540,1.159,2.965,204.460,33.341,Starvation,-3.516039
0,-3290,Prey,-1,0,10.861,1.096,2.782,202.651,33.341,Starvation,-1.83271
0,-3430,Prey,-1,0,10.206,1.007,1.840,205.396,33.341,Starvation,-0.1008423
0,-3710,Prey,-1,0,12.586,0.800,3.129,246.153,33.341,Starvation,-1.016044
0,-3850,Prey,-1,0,12.266,0.966,3.218,247.038,33.341,Starvation,-2.016041
0,-3990,Prey,-1,0,19.590,1.317,2.914,241.378,33.341,Starvation,-1.016044
0,-4130,Prey,-1,0,10.098,0.965,2.198,214.244,33.341,Starvation,-1.082712
0,-4270,Prey,-1,0,12.713,0.948,2.355,212.748,33.341,Starvation,-1.382708
0,-202,Prey,-1,0,14.950,1.056,2.598,246.029,33.341,Starvation,-5.015037
0,-3570,Prey,-1,0,18.400,1.149,1.631,247.745,38.941,Starvation,-2.862851
0,-1330,Prey,-1,0,12.435,1.091,2.149,201.862,50.001,Dehydration,0.02350342
0,-1890,Prey,-1,0,12.128,1.139,3.343,211.881,50.001,Dehydration,0.3105214
1,-6722,Prey,-1,0,13.990,1.129,1.523,240.432,33.341,Starvation,-1.699373
1,-7142,Prey,-1,0,10.093,1.183,2.655,214.751,33.341,Starvation,-1.016044
1,-7282,Prey,-1,0,14.092,1.212,3.203,219.306,33.341,Starvation,1.116877
1,-7422,Prey,-1,0,11.813,1.291,3.235,206.391,33.341,Starvation,-1.016044
1,-7702,Prey,-1,0,13.298,1.410,1.898,208.331,33.341,Starvation,-1.016044
1,-7842,Prey,-1,0,13.739,1.036,3.068,222.734,33.341,Starvation,-3.149376
1,-8402,Prey,-1,0,15.869,1.182,1.543,244.063,33.341,Starvation,-1.016044
1,-8822,Prey,-1,0,12.698,1.246,2.559,244.099,33.341,Starvation,-1.016044
1,-9102,Prey,-1,0,13.346,0.899,2.538,201.121,33.341,Starvation,0.1955554
1,-9382,Prey,-1,0,14.292,1.125,2.704,201.259,33.341,Starvation,-1.016044
1,-9802,Prey,-1,0,12.432,1.164,2.411,214.605,33.341,Starvation,-1.016044
1,-9942,Prey,-1,0,18.535,1.070,2.289,224.259,33.341,Starvation,-3.299358
1,-10222,Prey,-1,0,12.866,1.164,2.199,249.507,33.341,Starvation,-1.016044
