episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,maxPreyGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,reachedLifeEnd,diedFromHunger,diedFromThirst
1,49.98,24.301,71.582,4.55,30,0,4,1,0,0.0,0,26,4
2,49.98,31.428,72.49,12.6,30,0,6,2,0,0.0,0,26,4
3,49.98,23.851,54.791,0.85,30,0,2,2,0,0.0,0,28,2
4,50.0,30.232,64.741,2.25,30,0,6,0,0,0.0,0,26,4
5,53.86,23.741,69.285,11.933,30,0,2,0,0,0.0,0,28,2
6,50.34,43.705,63.91,15.05,30,0,12,1,0,0.0,0,19,11
7,72.36,58.026,80.919,30.216,30,0,10,4,0,0.0,0,27,3
8,91.98,58.16,75.43,26.408,30,0,17,2,0,0.0,0,19,11
9,133.82,86.136,69.329,13.867,31,1,17,5,1,1.5,0,25,6
10,70.86,55.258,56.579,7.8,30,0,12,2,0,0.0,0,24,6
11,111.34,102.106,55.229,0.917,30,0,24,9,0,0.0,0,22,8
12,186.76,55.493,75.53,28.266,30,0,9,4,0,0.0,0,29,1
13,128.74,87.103,50.009,0.933,30,0,17,4,0,0.0,0,24,6
14,186.14,101.463,56.863,6.042,30,0,27,7,0,0.0,0,20,10
15,172.24,107.775,48.907,0.0,30,0,21,5,0,0.0,0,25,5
16,145.04,121.951,54.125,2.3,30,0,36,8,0,0.0,0,21,9
17,107.88,103.308,59.849,4.017,30,0,32,6,0,0.0,0,17,13
18,200.96,108.153,51.1,0.15,30,0,29,8,0,0.0,0,21,9
19,169.98,83.887,54.65,0.167,30,0,24,2,0,0.0,0,20,10
20,158.62,183.534,65.538,5.15,32,1,39,16,2,3.0,0,28,4
21,163.4,140.975,56.27,2.7,30,0,43,9,0,0.0,0,22,8
22,107.28,139.939,54.38,1.433,30,0,36,11,0,0.0,0,23,7
23,106.0,107.944,53.576,4.542,30,0,25,8,0,0.0,0,25,5
24,150.04,159.319,57.229,1.9,31,1,45,12,1,1.5,0,20,11
25,129.56,130.76,57.294,5.3,31,1,34,8,1,4.5,0,21,10
26,177.88,150.35,51.266,0.933,30,0,33,12,0,0.0,0,27,3
27,163.5,156.418,59.934,4.45,31,1,43,9,1,1.5,0,19,12
28,177.62,162.516,64.245,1.65,31,1,43,12,1,1.5,0,21,10
29,150.14,221.198,61.689,1.733,32,1,54,21,2,3.0,0,24,8
30,161.78,172.964,55.504,2.217,30,0,49,13,0,0.0,0,23,7
31,202.28,215.501,66.118,9.65,31,1,63,14,1,3.0,1,18,12
32,173.24,217.601,70.187,5.217,32,1,53,14,2,3.0,0,21,11
33,222.88,212.197,64.443,3.217,30,0,73,17,0,1.2,0,15,15
34,133.98,155.162,53.856,0.717,30,0,44,12,0,1.05,0,21,9
