episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,maxPreyGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,reachedLifeEnd,diedFromHunger,diedFromThirst
1,49.98,23.543,63.254,7.3,30,0,1,0,0,0.0,0,28,2
2,49.98,32.016,54.33,2.15,30,0,7,1,0,0.0,0,24,6
3,49.98,33.248,86.055,3.6,30,0,6,1,0,0.0,0,26,4
4,58.82,32.078,69.185,0.0,30,0,6,1,0,0.0,0,25,5
5,73.98,32.493,58.744,0.917,30,0,6,2,0,0.0,0,25,5
6,70.34,59.921,60.96,10.183,30,0,14,4,0,0.0,0,27,3
7,124.32,63.671,54.2,3.517,30,0,9,6,0,0.0,0,30,0
8,142.84,64.105,51.02,2.35,30,0,12,4,0,0.0,0,27,3
9,128.0,52.605,56.066,6.35,30,0,10,5,0,0.0,0,29,1
10,159.08,75.824,66.79,12.033,30,0,19,4,0,0.0,0,25,5
11,106.14,63.321,52.956,4.317,30,0,14,2,0,0.0,0,23,7
12,151.8,104.161,62.823,12.642,30,0,27,9,0,0.0,0,22,8
13,163.14,127.623,54.647,2.233,31,1,26,9,1,1.5,0,23,8
14,156.06,92.529,62.095,12.142,30,0,21,6,0,0.0,0,23,7
15,140.86,117.442,58.045,2.967,30,0,30,7,0,1.2,0,21,9
16,177.2,104.702,56.203,5.358,30,0,28,8,0,0.0,0,25,5
17,130.08,149.766,55.208,1.183,31,1,38,13,1,1.5,0,22,9
18,125.06,92.316,57.361,6.217,30,0,26,2,0,0.0,0,21,9
19,157.88,175.033,53.901,2.733,31,1,40,12,1,3.0,0,25,6
20,205.52,205.19,60.227,3.683,32,1,51,14,2,3.0,0,19,13
21,237.4,184.381,59.058,0.4,31,1,52,15,1,1.5,1,18,12
22,142.04,225.235,57.961,1.283,32,1,55,17,2,3.0,0,24,8
23,156.34,166.093,54.072,0.083,32,1,37,12,2,3.0,0,24,8
24,155.1,190.524,59.437,2.383,30,0,52,19,0,0.0,0,25,5
25,195.08,195.367,58.24,2.967,31,1,48,17,1,1.5,0,25,6
26,140.86,208.149,59.139,2.667,31,1,62,15,1,3.0,0,16,15
