episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
70,89.3,145.42,43.635,15.796,21,0,1,0,35,5,1,1.95,0,11,8,2
71,68.04,147.328,29.455,2.833,20,0,0,0,44,4,0,1.5,0,10,3,7
72,99.34,166.512,48.754,22.078,21,0,1,0,45,7,1,5.7,0,10,3,8
73,113.34,202.365,32.168,2.683,22,0,1,0,53,7,2,4.5,0,13,1,8
74,102.48,177.637,26.001,0.533,21,0,1,0,48,7,1,3.3,0,15,0,6
75,69.28,133.069,28.727,4.149,20,0,0,0,36,8,0,0.0,0,9,6,5
76,107.52,177.583,26.684,0.583,21,0,1,0,47,8,1,3.0,0,14,1,6
77,114.48,168.021,26.533,0.017,21,0,1,0,48,8,1,1.5,0,15,1,5
78,69.26,154.838,26.735,2.0,20,0,0,0,46,6,0,1.5,0,13,1,6
79,114.54,215.414,32.268,3.716,23,0,1,0,43,13,3,7.35,0,13,5,5
80,107.02,195.981,28.424,0.0,23,0,1,0,46,7,3,4.5,0,11,4,8
81,109.12,156.459,34.952,7.781,21,0,1,0,41,7,1,3.0,0,11,4,7
82,103.5,158.124,28.776,2.449,21,0,1,0,44,4,1,1.95,0,11,4,6
83,124.94,193.602,26.927,0.217,22,0,1,0,45,8,2,3.0,0,13,4,5
84,69.3,150.364,26.812,1.3,20,0,0,0,41,6,0,0.0,0,12,3,5
85,105.72,161.224,29.564,3.699,21,0,1,0,38,5,1,1.5,0,13,1,7
86,101.1,174.989,26.067,1.016,21,0,1,0,46,10,1,3.0,0,10,5,6
87,108.1,166.87,27.857,1.533,21,0,1,0,46,3,1,1.5,0,12,2,7
88,68.44,133.422,25.839,0.1,20,0,0,0,39,6,0,0.0,0,9,4,7
89,106.42,187.985,33.129,6.032,22,0,1,0,45,11,2,3.0,0,14,3,5
90,118.12,161.323,31.387,6.049,21,0,1,0,40,10,1,1.5,0,11,7,3
91,116.52,176.237,33.962,7.915,21,0,1,0,47,9,1,2.7,0,12,3,6
92,115.2,174.161,26.205,1.333,21,0,1,0,41,10,1,2.85,0,14,5,2
93,109.66,189.321,34.278,7.082,22,0,1,0,43,9,2,3.0,0,11,5,6
94,87.58,158.454,33.004,5.899,21,0,1,0,37,10,1,4.5,0,11,7,3
95,117.36,172.903,28.202,1.316,21,0,1,0,42,12,1,1.5,0,11,5,5
96,117.18,206.294,30.263,2.016,23,0,1,0,49,8,3,4.5,0,13,4,6
97,112.64,192.853,29.573,3.449,21,0,1,0,50,12,1,4.2,0,14,2,5
98,127.18,198.917,36.475,8.631,22,0,1,0,51,10,2,3.0,0,14,3,5
99,110.64,219.771,32.113,3.566,23,0,1,0,49,8,3,7.2,0,13,4,6
100,68.96,158.484,27.4,2.883,20,0,0,0,43,9,0,2.55,0,13,1,6
101,131.68,188.052,31.744,5.849,21,0,1,0,55,7,1,1.5,0,14,2,5
102,129.76,227.582,33.958,5.815,22,0,1,0,59,11,2,3.0,0,18,0,4
103,67.7,150.088,31.69,1.166,20,0,0,0,43,10,0,2.1,0,14,2,4
104,114.14,198.867,39.212,7.415,22,0,1,0,54,6,2,3.15,0,12,4,6
105,113.9,202.86,29.775,5.349,21,0,1,0,53,10,1,3.75,0,15,3,3
106,106.4,241.137,36.337,4.915,23,0,1,0,53,15,3,5.7,0,15,3,5
107,110.86,171.086,30.724,4.824,21,0,1,0,45,9,1,2.7,0,12,2,7
108,125.2,215.154,29.343,3.574,22,0,1,0,55,8,2,5.4,0,14,2,6
109,95.96,176.246,34.445,5.499,21,0,1,0,48,7,1,3.0,0,13,3,5
110,113.92,188.477,30.539,5.507,21,0,1,0,55,8,1,4.35,0,14,1,6
111,117.2,182.867,42.469,11.797,21,0,1,0,45,11,1,2.85,0,11,3,7
112,116.94,176.911,27.566,2.699,21,0,1,0,46,7,1,3.9,0,14,5,2
113,115.82,193.318,38.188,11.83,21,0,1,0,50,10,1,3.45,0,16,1,4
114,106.6,164.647,28.269,1.95,21,0,1,0,45,8,1,3.6,0,13,4,4
115,111.84,239.545,32.669,3.416,23,0,1,0,58,8,3,6.6,0,15,2,7
116,68.16,151.81,41.037,12.164,20,0,0,0,42,11,0,0.0,0,12,3,5
117,122.0,225.583,38.278,8.415,22,0,1,0,56,10,2,5.1,0,16,1,5
118,66.58,150.183,34.43,8.598,20,0,0,0,43,8,0,0.75,0,15,1,4
119,113.18,245.686,30.45,2.883,23,0,2,0,59,11,3,5.85,0,13,4,6
120,93.96,197.809,39.699,7.348,22,0,1,0,51,11,2,4.35,0,14,3,5
121,107.96,195.34,26.988,1.775,21,0,1,0,51,9,1,3.9,0,15,0,6
122,112.48,169.772,34.111,4.632,21,0,1,0,54,3,1,1.5,0,9,2,10
123,121.64,195.862,31.301,5.132,21,0,1,0,52,13,1,4.95,0,15,2,4
124,114.12,213.535,34.213,4.682,22,0,1,0,50,12,2,5.55,0,16,3,3
125,69.82,192.131,35.248,8.964,20,0,0,0,51,13,0,5.25,0,16,1,3
126,123.9,238.976,32.66,3.166,23,0,1,0,51,14,3,6.6,0,13,6,4
127,69.28,175.596,37.377,9.114,20,0,0,0,50,9,0,1.2,0,16,1,3
128,120.8,193.963,40.0,12.314,21,0,1,0,49,11,1,2.85,0,15,4,2
129,69.44,169.543,27.993,4.249,20,0,0,0,45,10,0,1.95,0,15,3,2
130,112.3,189.918,35.341,5.599,21,0,1,0,59,6,1,1.5,0,14,0,7
131,107.78,207.25,32.603,3.133,23,0,1,0,47,10,3,4.5,0,14,8,1
132,66.98,172.037,33.489,9.381,20,0,0,0,47,11,0,3.15,0,19,0,1
