episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,maxPreyGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,reachedLifeEnd,diedFromHunger,diedFromThirst
1,53.12,25.125,98.091,38.975,30,0,3,0,0,0.0,0,29,1
2,53.12,26.401,88.841,15.833,30,0,3,0,0,0.0,0,29,2
3,61.98,34.886,106.769,20.375,30,0,7,1,0,0.0,0,25,5
4,65.5,32.363,75.445,11.333,30,0,8,0,0,0.0,0,25,5
5,93.94,32.895,67.762,3.55,30,0,5,1,0,0.0,0,26,4
6,162.02,69.817,55.458,1.067,30,0,16,4,0,0.0,0,23,7
7,134.82,99.07,58.22,0.183,30,0,20,5,0,0.0,0,26,4
8,172.3,98.279,52.688,0.4,30,0,18,4,0,0.0,0,26,4
9,194.96,67.96,67.639,8.55,30,0,12,4,0,0.0,0,25,5
10,224.18,101.633,56.411,1.333,30,0,21,5,0,0.0,1,23,6
11,161.5,123.72,57.549,0.15,30,0,27,11,0,0.0,0,26,4
12,179.24,145.921,55.624,2.775,30,0,36,11,0,0.0,0,24,6
13,162.96,163.477,73.032,1.917,32,1,33,11,2,3.0,0,27,5
14,160.52,149.927,59.903,1.183,31,1,37,13,1,1.5,0,23,8
15,216.22,154.827,51.966,0.4,31,1,33,10,1,1.5,2,24,5
16,110.64,159.517,63.067,3.85,31,1,41,14,1,2.55,0,20,11
17,164.6,153.669,66.381,9.9,30,0,41,14,0,0.0,0,22,8
18,153.22,166.194,66.659,0.167,31,1,42,15,1,1.5,0,21,10
19,203.88,188.175,64.862,2.983,31,1,46,15,1,4.35,0,24,7
20,180.96,278.164,73.412,6.633,33,1,64,21,3,8.4,0,26,7
21,168.36,197.086,64.085,0.967,30,0,61,12,0,1.5,0,19,11
22,154.72,156.599,60.297,1.183,30,0,49,11,0,0.0,0,16,14
23,166.78,278.427,97.125,8.5,34,1,69,17,4,6.75,0,20,14
24,232.72,218.762,68.253,3.067,32,1,54,18,2,3.0,1,25,6
25,222.14,257.695,69.845,5.067,33,1,66,19,3,6.9,1,18,14
26,170.18,206.649,72.531,10.508,32,1,51,18,2,3.0,0,24,8
27,181.5,171.186,63.663,2.133,32,1,42,15,2,3.0,0,22,10
28,201.58,249.953,59.887,1.275,32,1,69,22,2,3.0,0,19,13
29,190.42,280.03,71.752,3.892,33,1,72,17,3,10.95,0,17,16
30,236.42,199.011,62.69,5.533,31,1,52,13,1,5.7,1,24,7
31,159.86,227.02,69.342,6.342,31,1,65,20,1,5.25,0,18,13
32,173.72,208.259,76.822,13.966,31,1,66,13,1,4.05,0,15,16
33,165.3,283.325,65.349,0.933,34,1,73,18,4,7.5,0,17,17
34,190.44,177.319,66.696,7.25,32,1,49,10,2,4.5,0,20,12
