episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,65.50,65.50,32.363,75.445,11.333,30,0,0,0,8,0,0,0.000,0,0,25,5,0
2,65.50,237.80,172.30,98.279,52.688,0.400,30,0,0,0,18,4,0,0.000,0,0,26,4,0
3,237.80,399.30,161.50,123.720,57.549,0.150,30,0,0,0,27,11,0,0.000,0,0,26,4,0
4,399.30,563.90,164.60,153.669,66.381,9.900,30,0,0,0,41,14,0,0.000,0,0,22,8,0
5,563.90,718.62,154.72,156.599,60.297,1.183,30,0,0,0,49,11,0,0.000,0,0,16,14,0
6,718.62,888.80,170.18,206.649,72.531,10.508,32,0,1,0,51,18,2,3.000,0,0,24,8,0
7,888.80,1048.66,159.86,227.020,69.342,6.342,31,0,1,0,65,20,1,5.250,0,0,18,13,0
8,1048.66,1224.80,176.14,276.477,71.669,12.433,33,0,1,0,74,24,3,5.550,0,0,19,14,0
9,1224.80,1461.78,236.98,281.374,63.246,2.267,32,0,1,0,80,23,2,4.200,0,2,23,7,0
10,1461.78,1633.00,171.22,228.837,67.199,3.250,30,0,0,0,69,25,0,5.550,0,0,18,12,0
11,1633.00,1874.82,241.82,334.315,73.521,3.467,33,0,1,0,93,28,3,11.100,0,1,14,18,0
12,1874.82,2187.82,313.00,613.500,87.878,5.984,40,0,2,0,153,45,10,21.900,0,3,16,22,0
13,2187.82,2392.50,204.68,349.932,72.586,5.243,34,0,2,0,103,27,4,8.700,0,0,14,20,0
14,2392.50,2633.56,241.06,587.663,85.706,8.410,37,0,2,0,167,45,7,16.050,0,4,13,20,0
15,2633.56,2911.58,278.02,634.046,83.450,8.435,40,0,2,0,152,52,10,20.100,0,3,21,16,0
16,2911.58,3207.96,296.38,797.967,106.167,10.077,44,0,3,0,194,59,14,26.250,0,4,16,24,0
17,3207.96,3508.48,300.52,761.845,99.295,8.068,42,0,2,0,189,61,12,21.449,0,4,17,21,0
18,3508.48,3807.00,298.52,661.371,99.882,11.844,41,0,2,0,174,50,11,16.499,0,1,14,27,0
19,3807.00,4139.00,332.00,933.387,152.365,19.332,46,0,3,0,238,68,16,31.649,0,4,16,26,0
20,4139.00,4444.40,305.40,1034.696,121.165,5.232,47,0,2,0,239,83,17,38.698,0,7,18,22,0
21,4444.40,4747.84,303.44,1416.268,175.907,17.879,61,0,3,0,256,98,31,56.398,0,3,39,20,0
22,4747.84,4970.64,222.80,522.670,83.126,9.923,37,0,2,0,130,42,7,16.649,0,1,20,16,0
23,4970.64,5469.60,498.96,2197.047,198.898,23.686,75,0,5,0,459,164,45,81.447,0,21,25,29,0
24,5469.60,5937.96,468.36,1932.955,156.172,11.247,67,0,4,0,403,158,37,73.797,0,20,25,22,0
25,5937.96,6296.48,358.52,1562.744,145.451,15.655,62,0,4,0,333,114,32,60.450,0,7,19,36,0
26,6296.48,6604.02,307.54,609.741,87.354,9.956,39,0,2,0,154,42,9,22.804,0,1,15,23,0
27,6604.02,7069.00,464.98,1550.754,145.996,12.789,55,0,3,0,342,105,25,40.957,0,19,11,26,0
28,7069.00,7499.50,430.50,1695.781,123.825,12.605,59,0,4,0,348,108,29,59.260,0,11,20,28,0
29,7499.50,7848.12,348.62,1495.566,116.626,13.005,52,0,3,0,294,113,22,43.507,0,14,26,12,0
30,7848.12,8383.44,535.32,1599.189,141.747,20.703,56,0,4,0,340,111,26,55.059,0,14,22,20,0
31,8383.44,8932.48,549.04,2695.070,179.462,19.787,82,0,6,0,477,181,52,100.966,0,20,36,26,0
32,8932.48,9299.00,366.52,644.904,84.399,14.305,36,0,2,0,147,52,6,26.854,0,2,22,12,0
33,9299.00,9742.98,443.98,1713.996,147.789,14.496,59,0,4,0,336,126,29,63.910,0,12,27,20,0
34,9742.98,10308.30,565.32,3249.420,204.328,23.153,92,0,5,0,567,219,62,127.521,0,23,32,37,0
35,10308.30,10870.28,561.98,3127.721,244.202,29.251,98,0,5,0,559,223,68,133.372,0,25,40,33,0
36,10870.28,11273.50,403.22,2058.301,191.464,24.852,79,0,4,0,398,173,49,87.914,0,12,42,25,0
37,11273.50,11724.08,450.58,1430.949,146.601,14.097,60,0,4,0,349,140,30,65.561,0,18,23,19,0
38,11724.08,12277.66,553.58,1677.332,142.262,21.478,67,0,4,0,387,157,37,82.513,0,19,34,15,0
39,12277.66,12905.98,628.32,2666.105,217.527,31.476,94,0,6,0,550,230,64,136.072,0,25,39,30,0
40,12905.98,13529.66,623.68,1871.703,234.193,31.576,73,0,7,0,453,162,43,97.366,0,19,30,24,0
