episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,113.84,113.84,41.685,91.393,11.900,30,0,0,0,5,3,0,0.000,0,1,29,0,0
2,113.84,228.76,114.92,82.118,49.495,2.167,30,0,0,0,16,3,0,0.000,0,3,22,5,0
3,228.76,339.34,110.58,96.984,55.605,1.633,30,0,0,0,23,4,0,0.000,0,2,17,11,0
4,339.34,515.52,176.18,193.955,62.080,6.342,31,0,1,0,49,12,1,3.000,0,6,18,7,0
5,515.52,684.92,169.40,195.415,59.876,4.842,33,0,1,0,40,16,3,4.500,0,2,22,9,0
6,684.92,851.08,166.16,172.956,68.302,10.733,32,0,1,0,39,10,2,3.000,0,4,23,5,0
7,851.08,1046.82,195.74,351.081,65.087,7.575,35,0,1,0,86,26,5,8.700,0,11,16,8,0
8,1046.82,1179.68,132.86,224.204,59.567,8.808,31,0,1,0,62,13,1,6.750,0,6,15,11,0
9,1179.68,1369.12,189.44,336.127,51.977,2.600,33,0,1,0,94,24,3,9.900,0,11,13,9,0
10,1369.12,1488.64,119.52,249.126,56.838,6.517,31,0,1,0,66,22,1,6.600,0,13,15,3,0
11,1488.64,1667.84,179.20,411.762,66.958,12.218,36,0,1,0,97,30,6,11.850,0,11,19,6,0
12,1667.84,1912.82,244.98,431.783,60.504,10.519,35,0,2,0,109,35,5,14.850,0,18,9,8,0
13,1912.82,2058.22,145.40,278.509,58.056,3.901,31,0,1,0,80,19,1,5.250,0,11,17,3,0
14,2058.22,2235.86,177.64,384.824,59.437,12.486,33,0,1,0,97,34,3,12.750,0,15,14,4,0
15,2235.86,2411.82,175.96,351.037,56.779,8.077,33,0,1,0,89,28,3,12.750,0,10,16,7,0
16,2411.82,2583.76,171.94,352.482,54.828,7.085,33,0,1,0,94,29,3,9.600,0,12,17,4,0
17,2583.76,2741.98,158.22,309.974,47.758,2.984,32,0,1,0,89,23,2,7.350,0,11,13,8,0
18,2741.98,2942.24,200.26,531.169,63.567,13.384,37,0,1,0,135,36,7,12.450,0,22,7,8,0
19,2942.24,3151.82,209.58,505.259,44.845,5.224,35,0,1,0,132,46,5,14.849,0,24,6,5,0
20,3151.82,3326.16,174.34,447.949,42.822,2.449,34,0,1,0,121,36,4,15.599,0,20,7,7,0
21,3326.16,3516.48,190.32,520.371,47.847,3.366,36,0,1,0,131,44,6,16.049,0,22,10,4,0
22,3516.48,3718.46,201.98,397.340,48.010,6.432,33,0,1,0,104,36,3,11.700,0,17,13,3,0
23,3718.46,3936.34,217.88,657.292,63.625,8.673,41,0,1,0,155,49,11,21.899,0,24,9,8,0
