episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,60.00,60.00,43.132,32.937,0.000,20,0,7,0,0,0.000,0,2,13,5
2,60.00,120.00,60.00,54.780,25.627,0.000,20,0,5,5,0,0.000,0,2,18,0
3,120.00,180.00,60.00,44.219,28.926,0.000,20,0,3,2,0,0.000,0,1,17,2
4,180.00,240.00,60.00,53.582,27.892,0.000,20,0,9,1,0,0.000,0,2,14,4
5,240.00,300.00,60.00,53.609,26.605,0.000,20,0,14,0,0,0.000,0,2,12,6
6,300.00,360.00,60.00,70.490,28.083,0.000,20,0,19,3,0,0.000,0,4,8,8
7,360.00,420.00,60.00,69.510,27.383,0.000,20,0,21,3,0,0.000,0,2,7,11
8,420.00,480.00,60.00,77.391,26.218,0.000,20,0,20,1,0,0.000,0,2,9,9
9,480.00,540.00,60.00,88.280,34.009,7.208,20,0,26,2,0,0.000,0,4,5,11
10,540.00,600.00,60.00,93.558,28.652,1.917,20,0,25,6,0,0.000,0,5,6,9
11,600.00,660.00,60.00,100.361,26.850,0.000,20,0,29,3,0,0.000,0,5,4,11
