episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,59.98,59.98,49.856,30.811,0.000,20,0,4,1,0,0.000,0,1,15,4
2,59.98,111.98,52.00,34.511,34.219,0.000,20,0,7,0,0,0.000,0,0,14,6
3,111.98,163.98,52.00,44.250,35.778,0.333,20,0,13,0,0,0.000,0,0,10,10
4,163.98,223.98,60.00,59.287,28.026,0.000,20,0,12,3,0,0.000,0,3,11,6
5,223.98,283.98,60.00,65.496,27.537,0.017,20,0,12,2,0,0.000,0,3,11,6
6,283.98,353.66,69.68,77.965,29.177,0.883,21,0,14,6,1,1.500,0,4,11,6
7,353.66,413.66,60.00,73.338,26.972,0.983,20,0,14,3,0,0.000,0,3,10,7
8,413.66,515.00,101.34,103.173,33.690,5.683,21,0,22,8,1,1.500,0,9,9,3
9,515.00,580.00,65.00,91.238,32.691,4.783,21,0,20,5,1,1.500,0,5,8,8
10,580.00,678.80,98.80,110.018,27.543,0.000,21,0,23,5,1,1.500,0,7,9,5
11,678.80,738.80,60.00,111.343,25.652,0.833,20,0,29,7,0,0.000,0,13,6,1
12,738.80,819.34,80.54,118.190,27.439,0.000,21,0,33,3,1,1.500,0,7,4,10
13,819.34,879.34,60.00,91.897,28.671,0.350,20,0,26,3,0,0.000,0,6,5,9
14,879.34,981.66,102.32,117.565,27.480,0.300,21,0,31,6,1,1.500,0,10,6,5
15,981.66,1041.66,60.00,98.297,28.954,3.250,20,0,27,0,0,0.000,0,5,7,8
16,1041.66,1146.66,105.00,127.347,38.087,3.833,22,0,34,4,2,3.000,0,9,5,8
17,1146.66,1206.66,60.00,106.197,26.303,0.167,20,0,32,4,0,0.000,0,6,3,11
18,1206.66,1266.66,60.00,100.780,27.917,1.650,20,0,32,2,0,0.000,0,6,4,10
19,1266.66,1384.32,117.66,127.065,29.767,3.100,21,0,34,5,1,1.500,0,10,5,6
20,1384.32,1500.00,115.68,124.465,26.629,0.000,21,0,33,5,1,1.500,0,8,8,5
21,1500.00,1560.00,60.00,131.340,39.032,6.375,20,0,38,5,0,0.000,0,11,3,6
22,1560.00,1669.00,109.00,160.779,25.524,0.050,21,0,40,9,1,1.500,0,15,3,3
23,1669.00,1776.32,107.32,158.469,51.337,17.700,22,0,48,4,2,3.000,0,14,1,7
24,1776.32,1891.66,115.34,180.475,28.432,1.550,22,0,47,8,2,3.000,0,14,2,6
25,1891.66,1999.32,107.66,164.323,34.936,5.558,21,0,50,6,1,2.250,0,15,1,5
26,1999.32,2059.32,60.00,133.231,40.316,12.101,20,0,43,3,0,0.000,0,8,1,11
27,2059.32,2178.00,118.68,166.631,37.630,6.068,21,0,46,7,1,2.400,0,17,1,3
28,2178.00,2295.00,117.00,179.292,37.890,6.218,23,0,52,5,3,4.500,0,11,1,11
29,2295.00,2413.32,118.32,167.496,41.176,14.453,21,0,50,6,1,1.500,0,16,1,4
30,2413.32,2473.32,60.00,142.200,29.782,4.501,20,0,40,8,0,1.350,0,13,1,6
31,2473.32,2632.66,159.34,204.508,40.691,7.610,23,0,54,12,3,4.500,0,18,4,1
32,2632.66,2735.32,102.66,153.531,56.236,23.603,21,0,49,4,1,2.850,0,12,0,9
33,2735.32,2795.32,60.00,136.765,27.981,2.166,20,0,44,5,0,1.050,0,11,2,7
34,2795.32,2903.66,108.34,173.479,28.478,1.583,22,0,53,6,2,3.000,0,11,2,9
