episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,50.00,50.00,33.478,34.503,0.000,20,0,4,0,0,0.000,0,0,15,5
2,50.00,110.00,60.00,39.162,41.681,0.000,20,0,6,0,0,0.000,0,1,15,4
3,110.00,170.00,60.00,47.054,26.259,0.000,20,0,7,3,0,0.000,0,2,14,4
4,170.00,230.00,60.00,62.922,29.774,0.000,20,0,15,2,0,0.000,0,2,9,9
5,230.00,280.00,50.00,47.018,27.063,0.850,20,0,9,0,0,0.000,0,0,14,6
6,280.00,340.00,60.00,71.590,26.173,0.000,20,0,13,4,0,0.000,0,4,11,5
7,340.00,400.00,60.00,66.422,33.893,7.333,20,0,18,3,0,0.000,0,3,10,7
8,400.00,460.00,60.00,61.262,38.757,11.416,20,0,17,0,0,0.000,0,1,9,11
9,460.00,520.00,60.00,79.563,28.674,2.367,20,0,19,3,0,0.000,0,4,8,8
10,520.00,580.00,60.00,80.199,33.301,3.992,20,0,19,2,0,0.000,0,6,6,8
11,580.00,693.66,113.66,119.875,38.623,9.850,21,0,27,6,1,1.500,0,11,4,6
12,693.66,753.66,60.00,101.216,33.555,6.733,20,0,29,4,0,0.000,0,8,4,8
13,753.66,833.98,80.32,114.970,32.307,3.600,21,0,32,2,1,1.500,0,5,5,11
14,833.98,936.32,102.34,125.122,29.461,0.283,21,0,29,7,1,1.500,0,11,5,5
15,936.32,1036.56,100.24,107.414,27.927,0.333,21,0,31,4,1,1.500,0,5,8,8
16,1036.56,1096.56,60.00,100.515,27.898,2.067,20,0,33,3,0,0.000,0,6,5,9
17,1096.56,1156.56,60.00,108.040,34.988,9.133,20,0,30,4,0,0.000,0,9,4,7
18,1156.56,1216.56,60.00,132.950,29.062,3.867,20,0,36,5,0,1.050,0,12,1,7
19,1216.56,1325.32,108.76,145.225,36.780,10.402,21,0,34,4,1,1.500,0,11,3,7
20,1325.32,1433.66,108.34,147.094,31.466,4.151,21,0,41,7,1,1.500,0,12,1,8
21,1433.66,1546.00,112.34,163.462,28.599,2.917,21,0,45,7,1,2.250,0,13,2,6
22,1546.00,1655.00,109.00,158.638,30.598,2.250,21,0,43,8,1,2.850,0,12,2,7
23,1655.00,1715.00,60.00,128.069,39.100,10.777,20,0,38,5,0,0.000,0,10,2,8
24,1715.00,1826.32,111.32,201.066,39.165,4.234,24,0,43,10,4,8.400,0,14,6,4
25,1826.32,1933.66,107.34,165.248,42.434,12.944,21,0,47,5,1,2.100,0,13,0,8
26,1933.66,1993.66,60.00,146.798,36.215,10.752,20,0,46,4,0,0.750,0,12,2,6
27,1993.66,2113.32,119.66,166.218,36.239,5.601,22,0,46,3,2,3.000,0,13,3,6
28,2113.32,2173.32,60.00,136.053,32.017,4.233,20,0,40,6,0,0.000,0,10,3,7
29,2173.32,2288.66,115.34,165.700,37.965,7.198,21,0,43,8,1,4.200,0,14,4,3
30,2288.66,2398.32,109.66,151.819,32.204,3.632,21,0,41,4,1,2.850,0,12,2,7
31,2398.32,2511.32,113.00,205.563,30.856,3.749,23,0,55,10,3,4.500,0,18,1,4
32,2511.32,2571.32,60.00,175.823,27.609,0.667,20,0,51,8,0,1.050,0,16,0,5
33,2571.32,2684.66,113.34,203.553,31.143,4.324,22,0,57,11,2,4.800,0,20,0,2
34,2684.66,2788.24,103.58,160.574,27.226,1.533,21,0,44,6,1,1.650,0,11,4,6
35,2788.24,2848.24,60.00,152.663,29.174,5.015,20,0,44,5,0,0.150,0,13,1,6
36,2848.24,2908.24,60.00,159.363,31.966,7.840,20,0,48,6,0,0.900,0,13,2,5
37,2908.24,3013.66,105.42,162.487,43.561,14.322,21,0,44,7,1,2.700,0,13,2,6
38,3013.66,3073.66,60.00,146.441,27.392,0.866,20,0,44,7,0,0.150,0,13,3,4
39,3073.66,3181.32,107.66,194.294,29.428,3.432,22,0,56,4,2,3.750,0,15,0,7
40,3181.32,3241.32,60.00,162.090,37.985,11.014,20,0,45,8,0,0.000,0,17,0,3
41,3241.32,3354.66,113.34,179.070,29.870,0.983,21,0,53,6,1,2.850,0,15,0,7
42,3354.66,3467.32,112.66,183.833,28.655,2.266,21,0,50,7,1,2.550,0,16,0,5
43,3467.32,3581.66,114.34,184.739,35.431,8.648,21,0,51,9,1,2.400,0,18,1,2
44,3581.66,3641.66,60.00,162.659,28.739,5.099,20,0,48,5,0,0.150,0,13,1,6
45,3641.66,3759.32,117.66,187.909,35.540,7.498,21,0,52,6,1,1.500,0,16,1,4
46,3759.32,3819.32,60.00,165.292,25.698,1.566,20,0,45,8,0,0.150,0,15,1,4
47,3819.32,3929.66,110.34,182.994,35.699,8.781,22,0,50,8,2,4.050,0,15,1,6
48,3929.66,4064.42,134.76,223.429,33.233,2.199,24,0,60,11,4,7.650,0,17,2,5
49,4064.42,4177.66,113.24,199.287,37.514,8.781,22,0,54,10,2,5.400,0,16,1,5
50,4177.66,4237.66,60.00,181.211,34.604,10.997,20,0,55,7,0,1.050,0,14,0,6
51,4237.66,4355.66,118.00,237.649,34.390,2.633,23,0,61,14,3,8.100,0,19,0,4
52,4355.66,4472.32,116.66,196.653,32.914,5.282,21,0,51,7,1,4.200,0,18,1,2
53,4472.32,4532.32,60.00,170.168,27.482,3.083,20,0,48,8,0,1.500,0,17,1,2
54,4532.32,4592.32,60.00,154.415,30.266,5.082,20,0,47,5,0,0.000,0,14,2,4
55,4592.32,4727.32,135.00,250.234,37.066,3.824,24,0,62,15,4,7.800,0,19,1,4
56,4727.32,4841.00,113.68,184.169,25.515,0.783,21,0,48,9,1,1.650,0,18,1,2
57,4841.00,4901.00,60.00,160.907,32.871,8.090,20,0,48,6,0,0.000,0,16,0,4
58,4901.00,5018.32,117.32,242.942,30.616,2.899,23,0,63,13,3,8.400,0,19,1,3
59,5018.32,5137.00,118.68,262.981,32.629,5.182,24,0,65,13,4,7.500,0,18,1,5
60,5137.00,5197.00,60.00,161.617,31.972,5.882,20,0,47,7,0,1.350,0,15,2,3
61,5197.00,5306.00,109.00,213.884,33.062,6.623,22,0,59,10,2,5.400,0,18,1,3
62,5306.00,5418.66,112.66,193.495,30.742,4.716,22,0,54,10,2,6.600,0,18,2,2
63,5418.66,5478.66,60.00,162.147,35.685,8.998,20,0,50,8,0,0.000,0,15,0,5
64,5478.66,5589.48,110.82,194.447,25.184,0.700,21,0,53,13,1,3.300,0,18,1,2
65,5589.48,5706.32,116.84,199.235,29.846,5.182,21,0,62,9,1,2.250,0,16,0,5
66,5706.32,5810.32,104.00,177.442,27.484,2.183,21,0,53,9,1,3.150,0,10,1,10
67,5810.32,5923.32,113.00,182.010,27.283,3.199,21,0,49,9,1,4.500,0,16,3,2
68,5923.32,5983.32,60.00,191.759,25.763,3.649,20,0,54,10,0,0.900,0,20,0,0
69,5983.32,6102.66,119.34,266.350,31.730,5.365,23,0,69,15,3,9.000,0,21,0,2
70,6102.66,6215.66,113.00,215.147,26.951,2.766,21,0,55,15,1,4.200,0,19,1,1
71,6215.66,6275.66,60.00,170.208,26.854,1.533,20,0,48,7,0,3.900,0,14,2,4
72,6275.66,6387.32,111.66,208.672,28.492,4.132,21,0,59,11,1,7.050,0,14,2,5
73,6387.32,6502.32,115.00,234.823,45.128,2.199,24,0,60,9,4,7.200,0,20,3,1
74,6502.32,6613.66,111.34,189.408,34.679,5.782,21,0,59,6,1,3.300,0,17,1,3
75,6613.66,6731.66,118.00,240.932,30.779,3.116,23,0,56,13,3,8.250,0,19,1,3
76,6731.66,6846.00,114.34,189.106,28.583,2.116,21,0,50,12,1,2.700,0,17,1,3
77,6846.00,6965.00,119.00,245.288,27.968,0.667,23,0,64,11,3,6.450,0,21,0,2
78,6965.00,7079.32,114.32,211.837,28.724,2.666,22,0,61,8,2,4.950,0,15,0,7
79,7079.32,7181.66,102.34,202.606,26.097,1.683,21,0,58,12,1,4.200,0,19,0,2
80,7181.66,7300.66,119.00,205.525,32.861,7.615,22,0,57,10,2,5.100,0,17,2,3
81,7300.66,7440.66,140.00,241.749,34.484,4.032,24,0,66,11,4,7.650,0,19,1,4
82,7440.66,7556.32,115.66,215.441,33.181,4.482,22,0,53,12,2,5.100,0,17,1,4
83,7556.32,7671.00,114.68,198.155,28.038,3.499,21,0,55,9,1,4.800,0,17,0,4
84,7671.00,7784.32,113.32,228.334,31.283,5.465,22,0,61,13,2,4.950,0,16,0,6
85,7784.32,7896.00,111.68,236.278,30.045,2.816,23,0,60,14,3,5.700,0,18,1,4
86,7896.00,7956.00,60.00,184.480,27.088,3.083,20,0,49,11,0,1.650,0,18,0,2
87,7956.00,8067.66,111.66,184.523,33.322,5.415,21,0,57,4,1,3.900,0,15,2,4
88,8067.66,8180.32,112.66,191.916,26.598,1.533,21,0,50,10,1,4.050,0,17,2,2
89,8180.32,8334.32,154.00,242.598,30.607,1.658,23,0,66,13,3,5.550,0,17,0,6
90,8334.32,8452.00,117.68,287.503,31.455,2.641,25,0,74,13,5,10.200,0,25,0,0
91,8452.00,8558.00,106.00,244.859,29.165,2.116,23,0,70,11,3,7.350,0,19,0,4
92,8558.00,8676.00,118.00,227.856,37.113,4.632,23,0,66,11,3,5.250,0,18,1,4
93,8676.00,8832.00,156.00,314.065,46.386,10.139,26,0,77,15,6,12.000,0,22,1,3
94,8832.00,8950.32,118.32,249.579,34.238,3.966,23,0,61,17,3,8.250,0,19,1,3
95,8950.32,9064.66,114.34,218.383,25.742,1.883,21,0,54,13,1,1.650,0,20,1,0
96,9064.66,9176.32,111.66,256.877,33.380,1.625,23,0,61,14,3,11.100,0,22,0,1
97,9176.32,9290.32,114.00,207.926,43.521,7.457,21,0,64,9,1,2.700,0,17,1,3
98,9290.32,9390.32,100.00,233.111,35.361,4.232,22,0,63,12,2,8.400,0,18,1,3
99,9390.32,9508.32,118.00,242.084,28.839,2.899,23,0,62,13,3,7.050,0,20,0,3
100,9508.32,9627.32,119.00,224.637,32.335,6.265,22,0,63,11,2,6.150,0,20,0,2
101,9627.32,9741.00,113.68,204.762,27.708,3.632,21,0,56,12,1,4.050,0,18,1,2
