episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,116.32,116.32,307.238,26.831,0.900,24,0,66,18,4,9.750,0,23,1,0
2,116.32,235.00,118.68,370.412,33.124,3.283,27,0,78,23,7,15.150,0,27,0,0
3,235.00,395.32,160.32,399.102,34.046,1.783,28,0,95,26,8,15.900,0,27,0,1
4,395.32,509.32,114.00,324.047,35.955,8.242,25,0,79,19,5,14.250,0,25,0,0
5,509.32,625.00,115.68,376.680,29.579,2.317,26,0,79,26,6,15.150,0,25,1,0
6,625.00,737.32,112.32,356.511,30.526,1.500,25,0,80,24,5,14.550,0,25,0,0
7,737.32,853.32,116.00,320.726,31.905,6.100,24,0,75,17,4,11.400,0,24,0,0
8,853.32,970.66,117.34,251.910,24.998,2.150,21,0,57,18,1,10.350,0,21,0,0
9,970.66,1141.32,170.66,363.685,40.805,5.100,28,0,91,18,8,14.550,0,28,0,0
10,1141.32,1251.00,109.68,392.752,32.893,4.308,27,0,88,23,7,17.550,0,27,0,0
11,1251.00,1414.32,163.32,340.685,28.349,1.267,25,0,77,21,5,15.749,0,24,0,1
12,1414.32,1584.00,169.68,409.024,32.193,0.583,27,0,90,26,7,18.749,0,27,0,0
13,1584.00,1700.00,116.00,352.533,36.491,8.267,26,0,74,25,6,11.850,0,25,1,0
14,1700.00,1856.66,156.66,371.736,30.096,0.833,27,0,88,24,7,18.749,0,27,0,0
15,1856.66,1970.66,114.00,291.184,25.735,1.417,23,0,69,18,3,9.600,0,22,0,1
16,1970.66,2090.32,119.66,377.193,32.758,4.158,27,0,87,21,7,17.849,0,26,0,1
17,2090.32,2207.32,117.00,286.092,28.737,5.617,22,0,70,17,2,10.650,0,22,0,0
18,2207.32,2419.00,211.68,477.055,39.158,2.400,33,0,112,29,13,22.799,0,32,0,1
19,2419.00,2583.66,164.66,446.753,41.687,6.150,33,0,90,28,13,22.649,0,30,2,1
20,2583.66,2702.32,118.66,314.771,26.214,2.034,23,0,74,20,3,11.850,0,23,0,0
21,2702.32,2921.00,218.68,451.402,35.745,2.609,31,0,102,28,11,21.299,0,31,0,0
22,2921.00,3085.32,164.32,384.613,31.897,3.467,27,0,86,21,7,17.399,0,26,0,1
23,3085.32,3251.32,166.00,331.754,32.407,5.451,25,0,76,19,5,14.399,0,24,1,0
24,3251.32,3367.66,116.34,314.893,35.313,5.434,26,0,64,19,6,13.499,0,25,0,1
25,3367.66,3486.32,118.66,355.585,31.143,3.634,26,0,85,18,6,12.449,0,25,0,1
26,3486.32,3599.66,113.34,314.689,27.711,2.342,24,0,70,19,4,11.550,0,24,0,0
27,3599.66,3714.32,114.66,317.681,28.996,1.367,25,0,75,17,5,11.100,0,24,0,1
28,3714.32,3824.32,110.00,351.814,31.191,3.184,25,0,79,22,5,14.099,0,25,0,0
29,3824.32,3997.32,173.00,446.526,39.180,6.226,31,0,97,32,11,19.949,0,30,1,0
30,3997.32,4164.66,167.34,471.323,38.492,3.167,32,0,104,26,12,23.399,0,32,0,0
31,4164.66,4278.32,113.66,346.308,32.543,4.509,26,0,77,21,6,10.800,0,24,1,1
32,4278.32,4396.66,118.34,296.739,31.377,3.267,24,0,66,17,4,10.350,0,21,0,3
33,4396.66,4510.32,113.66,340.419,29.507,1.750,25,0,76,19,5,14.099,0,24,0,1
34,4510.32,4626.32,116.00,285.124,26.383,3.159,22,0,65,18,2,9.750,0,22,0,0
35,4626.32,4781.00,154.68,338.605,30.068,3.934,25,0,77,25,5,14.251,0,24,1,0
36,4781.00,4953.32,172.32,399.910,29.565,1.875,27,0,89,27,7,17.703,0,27,0,0
37,4953.32,5117.32,164.00,418.356,41.358,4.659,32,0,83,25,12,22.354,0,28,2,2
38,5117.32,5234.32,117.00,395.562,30.007,2.000,27,0,84,31,7,14.852,0,26,1,0
39,5234.32,5388.00,153.68,299.826,28.163,1.650,25,0,64,21,5,13.052,0,25,0,0
40,5388.00,5561.66,173.66,473.198,37.970,3.757,32,0,102,30,12,20.553,0,32,0,0
41,5561.66,5678.66,117.00,367.841,32.170,2.999,27,0,79,24,7,16.053,0,27,0,0
42,5678.66,5795.00,116.34,326.020,28.373,2.083,25,0,78,16,5,9.452,0,25,0,0
43,5795.00,5963.00,168.00,392.248,30.418,1.216,28,0,84,27,8,15.453,0,27,1,0
44,5963.00,6139.00,176.00,400.309,38.600,5.774,28,0,85,28,8,17.403,0,28,0,0
45,6139.00,6258.00,119.00,351.403,28.287,0.700,26,0,82,20,6,16.803,0,26,0,0
46,6258.00,6376.32,118.32,418.911,33.287,2.299,29,0,85,23,9,18.153,0,28,1,0
47,6376.32,6538.00,161.68,388.141,38.626,7.665,28,0,88,24,8,15.152,0,27,0,1
48,6538.00,6703.00,165.00,358.395,31.957,4.316,26,0,85,20,6,14.402,0,26,0,0
49,6703.00,6813.32,110.32,305.787,27.431,1.833,24,0,76,17,4,11.702,0,24,0,0
50,6813.32,6932.32,119.00,315.691,28.188,2.116,24,0,70,21,4,16.953,0,23,1,0
51,6932.32,7084.20,151.88,370.041,34.095,2.916,27,0,84,22,7,14.852,0,26,1,0
52,7084.20,7200.32,116.12,307.053,27.783,1.383,24,0,69,21,4,13.202,0,22,1,1
53,7200.32,7364.00,163.68,351.826,29.495,1.450,26,0,81,26,6,12.602,0,26,0,0
54,7364.00,7517.00,153.00,408.594,32.372,3.133,28,0,93,28,8,16.953,0,28,0,0
55,7517.00,7634.32,117.32,324.984,29.997,2.149,25,0,79,18,5,12.602,0,24,1,0
56,7634.32,7794.00,159.68,381.123,29.194,1.050,27,0,88,24,7,13.352,0,26,0,1
57,7794.00,7910.66,116.66,377.721,40.863,10.098,28,0,76,23,8,19.053,0,27,1,0
58,7910.66,8080.00,169.34,375.086,31.348,2.658,27,0,89,21,7,17.403,0,25,2,0
59,8080.00,8285.66,205.66,487.496,42.191,4.241,33,0,108,33,13,26.404,0,32,1,0
60,8285.66,8436.00,150.34,415.262,33.513,2.533,29,0,96,29,9,19.803,0,29,0,0
61,8436.00,8553.66,117.66,352.012,27.198,0.816,25,0,79,23,5,11.702,0,25,0,0
62,8553.66,8728.32,174.66,407.969,36.366,3.749,30,0,95,25,10,19.803,0,30,0,0
63,8728.32,8844.66,116.34,316.039,30.162,3.499,25,0,63,21,5,10.952,0,25,0,0
64,8844.66,8955.66,111.00,366.375,32.191,3.033,27,0,74,23,7,16.503,0,24,3,0
65,8955.66,9123.66,168.00,413.342,33.993,1.716,29,0,93,26,9,19.803,0,25,1,3
66,9123.66,9243.00,119.34,292.731,24.733,0.567,23,0,64,15,3,9.001,0,22,0,1
