episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,168.66,168.66,392.151,36.976,4.567,28,0,88,27,8,17.100,0,28,0,0
2,168.66,283.32,114.66,411.385,35.429,1.783,29,0,81,23,9,20.550,0,26,3,0
3,283.32,399.32,116.00,290.854,28.318,0.967,24,0,76,14,4,11.250,0,19,1,4
4,399.32,517.00,117.68,355.765,29.183,1.633,26,0,76,21,6,18.000,0,25,1,0
5,517.00,635.00,118.00,326.174,27.201,1.300,24,0,77,17,4,13.200,0,24,0,0
6,635.00,801.66,166.66,301.786,29.073,2.833,24,0,76,16,4,8.250,0,22,0,2
7,801.66,969.66,168.00,373.832,29.752,2.550,26,0,83,21,6,14.700,0,26,0,0
8,969.66,1088.66,119.00,342.032,27.604,1.083,25,0,75,24,5,18.300,0,25,0,0
9,1088.66,1254.00,165.34,385.859,34.618,4.700,28,0,89,23,8,18.300,0,28,0,0
10,1254.00,1371.66,117.66,375.511,35.545,3.967,27,0,80,22,7,18.899,0,27,0,0
11,1371.66,1482.00,110.34,279.544,30.144,5.917,22,0,68,17,2,9.000,0,22,0,0
12,1482.00,1643.32,161.32,389.095,32.982,1.650,27,0,89,24,7,16.049,0,27,0,0
13,1643.32,1756.66,113.34,393.208,33.071,4.808,27,0,85,24,7,15.449,0,27,0,0
14,1756.66,1894.30,137.64,251.980,32.586,3.292,23,0,57,19,3,9.000,0,20,2,1
15,1894.30,2007.00,112.70,303.677,25.681,0.683,23,0,67,24,3,10.500,0,22,1,0
16,2007.00,2123.66,116.66,302.471,25.623,1.200,23,0,67,20,3,13.799,0,23,0,0
17,2123.66,2317.00,193.34,375.306,34.026,5.650,27,0,88,25,7,18.299,0,27,0,0
18,2317.00,2431.32,114.32,312.799,26.918,1.383,24,0,71,19,4,15.299,0,22,2,0
19,2431.32,2549.32,118.00,302.653,31.957,4.642,25,0,64,22,5,10.200,0,25,0,0
20,2549.32,2666.00,116.68,317.815,31.173,2.692,25,0,66,21,5,14.849,0,24,1,0
21,2666.00,2781.00,115.00,320.113,31.250,1.883,24,0,75,15,4,13.949,0,23,0,1
22,2781.00,2897.66,116.66,328.513,25.928,0.833,24,0,78,18,4,16.649,0,22,0,2
23,2897.66,3097.32,199.66,432.919,43.150,5.884,30,0,94,32,10,21.149,0,27,2,1
24,3097.32,3217.00,119.68,367.146,38.072,7.402,28,0,85,19,8,15.599,0,26,0,2
25,3217.00,3386.00,169.00,355.704,37.846,5.685,28,0,73,25,8,16.199,0,27,0,1
26,3386.00,3550.66,164.66,377.317,28.159,1.350,26,0,83,24,6,16.649,0,26,0,0
27,3550.66,3718.66,168.00,422.106,34.037,3.076,29,0,89,32,9,21.899,0,29,0,0
28,3718.66,3885.00,166.34,454.037,40.400,6.185,32,0,96,22,12,23.099,0,31,0,1
29,3885.00,4038.66,153.66,402.762,31.635,2.150,28,0,90,19,8,19.349,0,28,0,0
30,4038.66,4154.32,115.66,309.685,26.767,1.117,24,0,74,17,4,11.550,0,24,0,0
31,4154.32,4375.00,220.68,506.056,39.071,4.626,33,0,105,33,13,26.549,0,32,1,0
32,4375.00,4544.32,169.32,319.966,30.140,1.717,25,0,80,16,5,10.200,0,24,0,1
33,4544.32,4657.00,112.68,307.067,26.261,1.267,24,0,60,19,4,13.501,0,22,2,0
34,4657.00,4877.32,220.32,508.367,44.313,6.835,34,0,109,30,14,28.655,0,33,0,1
35,4877.32,4994.00,116.68,294.153,27.955,2.484,24,0,59,23,4,10.952,0,24,0,0
36,4994.00,5162.32,168.32,345.089,29.868,1.950,26,0,82,18,6,16.203,0,24,0,2
37,5162.32,5326.32,164.00,404.760,37.221,3.401,29,0,91,28,9,19.503,0,28,0,1
38,5326.32,5443.32,117.00,288.963,27.559,2.200,24,0,61,23,4,10.952,0,24,0,0
39,5443.32,5607.66,164.34,469.744,44.344,8.285,32,0,95,35,12,22.654,0,31,0,1
40,5607.66,5727.00,119.34,378.625,32.962,3.167,27,0,88,20,7,15.453,0,25,0,2
41,5727.00,5896.00,169.00,436.433,32.820,2.949,29,0,95,28,9,21.904,0,28,1,0
42,5896.00,6064.32,168.32,411.647,32.532,2.033,29,0,93,25,9,16.053,0,28,0,1
43,6064.32,6225.00,160.68,399.135,35.731,5.765,28,0,92,24,8,16.503,0,27,0,1
44,6225.00,6392.32,167.32,435.597,55.248,14.863,32,0,87,28,12,20.853,0,31,1,1
45,6392.32,6512.00,119.68,309.476,28.327,0.450,24,0,74,21,4,7.501,0,23,0,1
46,6512.00,6679.00,167.00,370.604,27.099,0.267,26,0,83,22,6,17.253,0,26,0,0
47,6679.00,6796.66,117.66,338.695,30.775,2.949,25,0,72,23,5,13.652,0,24,0,1
48,6796.66,6969.00,172.34,368.969,37.535,7.940,27,0,80,25,7,14.552,0,24,2,1
49,6969.00,7080.66,111.66,308.076,28.232,2.124,24,0,66,21,4,13.502,0,23,1,0
50,7080.66,7196.00,115.34,358.242,33.636,4.757,27,0,74,21,7,16.203,0,26,0,1
51,7196.00,7309.32,113.32,390.967,35.270,4.174,28,0,84,22,8,16.803,0,27,0,1
52,7309.32,7424.32,115.00,307.629,31.800,3.291,25,0,69,18,5,14.252,0,24,0,1
53,7424.32,7541.00,116.68,350.348,32.640,3.333,27,0,77,18,7,13.202,0,26,1,0
54,7541.00,7694.00,153.00,330.035,32.452,1.316,26,0,86,20,6,13.652,0,25,0,1
55,7694.00,7844.00,150.00,304.250,28.896,2.116,25,0,64,22,5,14.402,0,24,0,1
56,7844.00,8006.58,162.58,327.193,34.466,4.057,26,0,83,18,6,15.152,0,24,1,1
57,8006.58,8122.32,115.74,293.816,29.276,4.416,23,0,76,17,3,9.902,0,23,0,0
58,8122.32,8234.32,112.00,343.147,29.080,2.316,25,0,75,22,5,14.402,0,24,1,0
