episode,startTime,endTime,aliveTime,spawned,dead,rewardSum
1,0.00,38.80,38.80,0,2,9.055
2,38.80,72.14,33.34,0,1,5.423
3,72.14,105.48,33.34,0,1,9.343
4,105.48,165.48,60.00,0,1,13.392
5,165.48,225.48,60.00,0,2,20.784
6,225.48,265.80,40.32,0,2,10.497
7,265.80,305.02,39.22,0,2,13.867
8,305.02,338.36,33.34,0,1,7.183
9,338.36,371.70,33.34,0,1,3.903
10,371.70,417.52,45.82,0,1,9.903
11,417.52,450.86,33.34,0,2,9.866
12,450.86,484.20,33.34,0,1,9.583
13,484.20,517.54,33.34,0,1,8.383
14,517.54,577.54,60.00,0,1,12.320
15,577.54,610.88,33.34,0,1,6.143
16,610.88,644.22,33.34,0,1,9.583
17,644.22,684.54,40.32,0,2,12.399
18,684.54,717.88,33.34,0,1,3.583
19,717.88,751.22,33.34,0,1,3.023
20,751.22,786.56,35.34,0,3,17.210
21,786.56,819.90,33.34,0,1,4.772
22,819.90,853.24,33.34,0,1,8.383
23,853.24,893.56,40.32,0,2,11.111
24,893.56,926.90,33.34,0,1,3.023
25,926.90,989.34,62.44,1,1,1.136
26,989.34,1029.66,40.32,0,1,8.962
27,1029.66,1058.42,28.76,0,0,0.000
28,1058.42,1091.76,33.34,0,1,2.383
29,1091.76,1127.10,35.34,0,2,16.267
30,1127.10,1160.44,33.34,0,1,10.783
31,1160.44,1193.78,33.34,0,1,5.743
32,1193.78,1234.10,40.32,0,1,6.886
33,1234.10,1267.44,33.34,0,1,3.183
34,1267.44,1327.44,60.00,0,1,4.124
35,1327.44,1360.78,33.34,0,1,5.103
36,1360.78,1394.12,33.34,0,2,10.607
37,1394.12,1454.12,60.00,0,1,7.748
38,1454.12,1487.46,33.34,0,1,7.583
39,1487.46,1520.80,33.34,0,1,6.623
