episode,startTime,endTime,aliveTime,spawned,dead,rewardSum
1,0.00,59.98,59.98,0,3,14.253
2,59.98,108.86,48.88,0,6,10.659
3,108.86,159.12,50.26,0,2,12.641
4,159.12,192.46,33.34,0,2,4.683
5,192.46,244.10,51.64,0,5,27.617
6,244.10,277.44,33.34,0,2,10.602
7,277.44,335.18,57.74,0,4,23.365
8,335.18,395.18,60.00,0,4,18.281
9,395.18,447.18,52.00,0,3,10.525
10,447.18,480.52,33.34,0,4,3.870
11,480.52,539.94,59.42,0,3,7.204
12,539.94,585.36,45.42,0,1,7.528
13,585.36,645.36,60.00,0,2,17.985
14,645.36,712.34,66.98,1,3,12.041
15,712.34,772.34,60.00,0,2,8.355
16,772.34,814.38,42.04,0,3,9.297
17,814.38,847.72,33.34,0,1,7.503
18,847.72,907.72,60.00,0,2,7.486
19,907.72,947.20,39.48,0,3,20.207
20,947.20,987.52,40.32,0,3,21.746
21,987.52,1040.12,52.60,0,1,6.269
22,1040.12,1075.46,35.34,0,5,0.405
23,1075.46,1127.24,51.78,0,2,14.682
24,1127.24,1187.24,60.00,0,4,20.561
25,1187.24,1247.24,60.00,0,4,9.955
26,1247.24,1280.58,33.34,0,3,9.068
27,1280.58,1313.92,33.34,0,1,9.023
28,1313.92,1360.54,46.62,0,2,13.346
29,1360.54,1393.88,33.34,0,3,9.710
30,1393.88,1433.20,39.32,0,2,18.733
31,1433.20,1466.54,33.34,0,3,-3.182
32,1466.54,1506.86,40.32,0,2,19.744
33,1506.86,1566.86,60.00,0,1,7.772
34,1566.86,1621.06,54.20,0,3,13.465
35,1621.06,1654.40,33.34,0,1,-0.090
36,1654.40,1694.72,40.32,0,3,5.871
37,1694.72,1745.60,50.88,0,1,6.683
38,1745.60,1780.94,35.34,0,6,25.833
39,1780.94,1830.94,50.00,0,3,14.592
40,1830.94,1864.28,33.34,0,1,-0.095
41,1864.28,1897.62,33.34,0,2,11.967
42,1897.62,1930.96,33.34,0,2,15.647
43,1930.96,1989.10,58.14,0,2,14.319
44,1989.10,2049.10,60.00,0,3,7.762
45,2049.10,2109.10,60.00,0,4,18.799
46,2109.10,2169.10,60.00,0,4,24.345
47,2169.10,2202.44,33.34,0,3,10.426
48,2202.44,2242.76,40.32,0,2,14.974
49,2242.76,2302.76,60.00,0,3,8.678
50,2302.76,2362.76,60.00,0,3,-1.639
51,2362.76,2403.08,40.32,0,4,17.431
52,2403.08,2463.08,60.00,0,1,9.511
53,2463.08,2520.62,57.54,1,2,15.972
54,2520.62,2580.62,60.00,0,3,16.208
55,2580.62,2613.96,33.34,0,2,8.364
56,2613.96,2669.76,55.80,0,2,3.894
57,2669.76,2720.66,50.90,0,4,23.245
58,2720.66,2760.98,40.32,0,3,8.154
59,2760.98,2794.32,33.34,0,1,6.623
60,2794.32,2838.90,44.58,0,1,10.588
61,2838.90,2872.24,33.34,0,3,-7.494
62,2872.24,2922.24,50.00,0,2,0.786
63,2922.24,2969.54,47.30,0,1,9.379
64,2969.54,3029.54,60.00,0,1,3.180
65,3029.54,3063.67,34.13,0,2,9.845
66,3063.67,3097.00,33.33,0,1,4.783
67,3097.00,3134.84,37.84,0,2,10.339
68,3134.84,3193.00,58.16,0,2,4.040
69,3193.00,3253.00,60.00,0,3,13.477
70,3253.00,3293.32,40.32,0,3,20.090
71,3293.32,3326.66,33.34,0,1,3.581
72,3326.66,3360.00,33.34,0,1,8.703
73,3360.00,3414.32,54.32,0,4,15.471
74,3414.32,3454.64,40.32,0,1,7.801
75,3454.64,3494.96,40.32,0,2,6.599
76,3494.96,3535.28,40.32,0,3,13.522
77,3535.28,3574.72,39.44,0,1,8.423
78,3574.72,3634.72,60.00,0,3,6.140
79,3634.72,3697.00,62.28,1,1,3.979
80,3697.00,3730.34,33.34,0,2,15.007
81,3730.34,3790.34,60.00,0,3,20.840
82,3790.34,3838.36,48.02,0,1,7.283
83,3838.36,3871.70,33.34,0,2,7.067
84,3871.70,3917.36,45.66,0,1,3.549
85,3917.36,3950.70,33.34,0,1,6.383
86,3950.70,3984.04,33.34,0,1,6.623
87,3984.04,4017.38,33.34,0,3,13.222
88,4017.38,4052.72,35.34,0,2,12.667
89,4052.72,4086.06,33.34,0,1,5.423
90,4086.06,4119.40,33.34,0,2,13.647
91,4119.40,4152.74,33.34,0,2,10.764
92,4152.74,4186.08,33.34,0,1,1.551
93,4186.08,4218.02,31.94,0,0,0.000
94,4218.02,4251.36,33.34,0,1,7.583
95,4251.36,4303.54,52.18,0,2,5.665
96,4303.54,4336.88,33.34,0,1,8.383
97,4336.88,4370.22,33.34,0,1,2.383
98,4370.22,4403.56,33.34,0,2,10.607
99,4403.56,4436.90,33.34,0,3,13.550
