episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,117.32,117.32,254.949,28.106,4.117,22,0,63,13,2,5.100,0,21,0,1
2,117.32,235.32,118.00,230.146,25.330,0.167,22,0,63,10,2,5.550,0,20,0,2
3,235.32,295.32,60.00,192.516,23.736,0.100,20,0,51,10,0,0.300,0,18,0,2
4,295.32,400.32,105.00,213.656,26.261,0.400,21,0,61,10,1,4.050,0,18,0,3
5,400.32,519.32,119.00,256.147,26.145,0.717,22,0,65,13,2,4.650,0,18,0,4
6,519.32,630.70,111.38,227.369,24.997,0.600,21,0,61,14,1,3.000,0,19,0,2
7,630.70,745.66,114.96,224.619,25.138,1.183,21,0,56,12,1,4.500,0,18,0,3
8,745.66,861.32,115.66,256.327,31.466,4.050,23,0,69,14,3,6.450,0,20,0,3
9,861.32,970.46,109.14,220.063,27.865,0.450,21,0,55,10,1,5.400,0,15,3,3
10,970.46,1030.46,60.00,222.141,26.857,2.117,20,0,56,12,0,2.250,0,20,0,0
11,1030.46,1140.66,110.20,302.573,32.941,2.683,24,0,72,15,4,8.250,0,20,2,2
12,1140.66,1243.32,102.66,207.879,25.335,0.283,21,0,59,9,1,1.950,0,19,1,1
13,1243.32,1359.00,115.68,254.928,25.308,0.200,22,0,69,10,2,6.750,0,18,0,4
14,1359.00,1476.32,117.32,244.101,29.108,3.583,22,0,63,16,2,4.350,0,19,0,3
15,1476.32,1536.32,60.00,207.838,24.946,0.575,20,0,57,10,0,3.750,0,17,0,3
16,1536.32,1654.66,118.34,247.474,29.420,2.117,23,0,65,11,3,6.300,0,20,2,1
17,1654.66,1714.66,60.00,188.553,24.223,1.500,20,0,55,11,0,1.650,0,17,1,2
18,1714.66,1774.66,60.00,207.247,25.368,1.717,20,0,56,9,0,0.000,0,17,0,3
19,1774.66,1891.32,116.66,207.259,26.938,2.717,21,0,56,12,1,2.550,0,16,2,3
20,1891.32,1951.32,60.00,219.480,24.556,0.683,20,0,60,9,0,3.600,0,19,1,0
21,1951.32,2066.66,115.34,201.864,24.772,0.033,21,0,60,12,1,2.400,0,18,1,2
22,2066.66,2174.00,107.34,219.816,26.161,1.433,21,0,58,15,1,2.700,0,17,1,3
23,2174.00,2234.00,60.00,187.597,24.126,0.183,20,0,56,10,0,1.500,0,18,1,1
24,2234.00,2348.66,114.66,264.647,26.944,1.467,23,0,64,16,3,6.000,0,21,2,0
25,2348.66,2463.00,114.34,225.026,24.333,1.117,21,0,60,8,1,5.100,0,21,0,0
26,2463.00,2523.00,60.00,214.547,24.105,0.650,20,0,57,16,0,1.500,0,20,0,0
27,2523.00,2638.00,115.00,224.694,30.278,3.167,22,0,60,11,2,8.100,0,18,2,2
28,2638.00,2750.00,112.00,232.815,28.281,3.117,22,0,62,11,2,4.350,0,20,1,1
29,2750.00,2867.00,117.00,223.435,30.839,2.717,21,0,60,12,1,4.950,0,19,1,1
30,2867.00,3031.00,164.00,259.890,42.136,3.933,24,0,68,13,4,7.500,0,19,3,2
31,3031.00,3149.66,118.66,270.994,30.010,1.417,23,0,73,14,3,7.650,0,21,0,2
32,3149.66,3263.00,113.34,264.167,29.073,2.817,22,0,63,14,2,6.750,0,19,0,3
33,3263.00,3382.66,119.66,271.390,29.756,0.633,23,0,69,13,3,6.600,0,22,0,1
34,3382.66,3539.32,156.66,302.536,32.104,0.950,25,0,76,20,5,10.650,0,21,1,3
35,3539.32,3599.32,60.00,204.638,28.054,3.133,20,0,57,10,0,0.450,0,18,1,1
36,3599.32,3715.66,116.34,238.992,23.999,0.250,21,0,59,13,1,5.550,0,19,2,0
37,3715.66,3835.00,119.34,252.874,29.927,1.475,22,0,68,10,2,5.100,0,18,0,4
38,3835.00,3951.66,116.66,255.017,41.027,0.900,23,0,67,12,3,4.500,0,19,0,4
39,3951.66,4059.66,108.00,233.608,29.208,5.558,21,0,63,12,1,4.200,0,20,0,1
40,4059.66,4119.66,60.00,218.248,24.502,1.234,20,0,60,10,0,0.900,0,18,1,1
41,4119.66,4237.80,118.14,209.901,28.241,0.083,22,0,63,6,2,3.000,0,15,2,5
42,4237.80,4349.00,111.20,260.659,29.364,2.517,23,0,63,14,3,6.000,0,20,0,3
43,4349.00,4409.00,60.00,221.374,26.690,1.800,20,0,59,15,0,4.200,0,20,0,0
44,4409.00,4521.66,112.66,298.611,28.389,1.384,24,0,75,13,4,9.000,0,22,1,1
45,4521.66,4581.66,60.00,206.768,23.563,1.450,20,0,56,14,0,1.650,0,19,1,0
46,4581.66,4641.66,60.00,181.612,29.171,2.034,20,0,52,10,0,1.650,0,17,0,3
47,4641.66,4750.00,108.34,236.760,29.610,6.010,21,0,65,11,1,5.400,0,20,0,1
48,4750.00,4863.44,113.44,229.002,26.860,1.817,21,0,56,14,1,4.050,0,20,0,1
49,4863.44,4982.32,118.88,220.097,28.884,1.117,22,0,60,13,2,4.500,0,16,3,3
50,4982.32,5101.00,118.68,270.956,27.987,1.650,23,0,70,15,3,7.950,0,20,2,1
51,5101.00,5213.32,112.32,296.452,29.427,1.617,23,0,68,18,3,6.900,0,21,2,0
52,5213.32,5327.66,114.34,227.906,26.133,2.150,21,0,58,10,1,4.950,0,16,0,5
53,5327.66,5447.32,119.66,244.237,27.816,2.501,22,0,67,10,2,4.650,0,19,1,2
54,5447.32,5558.00,110.68,217.445,28.322,4.134,21,0,63,12,1,2.850,0,21,0,0
55,5558.00,5672.00,114.00,282.446,28.715,1.300,24,0,75,10,4,7.500,0,19,0,5
56,5672.00,5782.32,110.32,242.309,30.906,2.401,22,0,67,16,2,5.400,0,20,0,2
57,5782.32,5842.32,60.00,216.300,29.625,1.734,20,0,56,13,0,2.250,0,19,0,1
58,5842.32,5953.66,111.34,275.068,30.295,4.117,23,0,68,15,3,10.200,0,20,2,1
59,5953.66,6072.32,118.66,233.294,32.067,4.251,21,0,61,10,1,4.650,0,20,0,1
60,6072.32,6187.00,114.68,231.078,34.965,3.951,21,0,57,15,1,6.300,0,20,1,0
61,6187.00,6297.00,110.00,293.053,30.805,1.200,24,0,73,15,4,8.550,0,20,0,4
62,6297.00,6408.00,111.00,222.011,33.120,3.201,21,0,60,11,1,3.300,0,19,0,2
63,6408.00,6526.32,118.32,231.472,37.553,1.000,21,0,62,11,1,2.850,0,19,0,2
64,6526.32,6638.66,112.34,269.780,33.080,5.485,23,0,71,17,3,5.850,0,22,1,0
65,6638.66,6756.66,118.00,237.007,26.556,1.767,22,0,61,12,2,4.800,0,22,0,0
66,6756.66,6871.00,114.34,233.317,28.723,4.383,21,0,62,12,1,5.100,0,19,1,1
67,6871.00,6984.66,113.66,234.916,28.179,1.150,21,0,59,13,1,5.550,0,20,1,0
68,6984.66,7097.00,112.34,229.303,32.732,4.199,22,0,61,13,2,6.000,0,21,1,0
69,7097.00,7209.66,112.66,220.800,32.125,2.899,21,0,57,10,1,5.400,0,19,2,0
70,7209.66,7320.66,111.00,243.022,33.206,2.733,22,0,61,10,2,6.750,0,17,1,4
71,7320.66,7430.32,109.66,288.731,28.451,2.233,23,0,75,11,3,9.600,0,20,0,3
72,7430.32,7541.00,110.68,257.652,29.758,1.400,22,0,64,16,2,7.350,0,20,1,1
73,7541.00,7657.70,116.70,250.150,28.955,3.432,23,0,63,15,3,6.900,0,20,2,1
74,7657.70,7769.00,111.30,248.986,29.485,0.467,22,0,64,11,2,6.750,0,19,1,2
75,7769.00,7882.66,113.66,254.285,29.131,2.949,23,0,66,15,3,7.650,0,19,1,3
76,7882.66,7995.66,113.00,239.543,29.038,4.982,21,0,59,16,1,6.750,0,19,0,2
77,7995.66,8106.30,110.64,227.633,26.692,0.550,21,0,64,10,1,2.250,0,20,0,1
78,8106.30,8221.66,115.36,293.699,28.252,1.333,23,0,71,14,3,6.750,0,23,0,0
79,8221.66,8332.32,110.66,277.647,27.941,2.433,23,0,69,16,3,7.500,0,19,2,2
80,8332.32,8450.32,118.00,255.125,27.105,0.683,23,0,71,9,3,6.900,0,19,1,3
81,8450.32,8569.32,119.00,260.955,26.896,0.283,22,0,67,14,2,5.850,0,22,0,0
82,8569.32,8686.00,116.68,261.750,29.559,2.233,23,0,73,12,3,7.500,0,20,0,3
83,8686.00,8804.00,118.00,255.900,25.222,1.350,22,0,68,12,2,6.450,0,20,0,2
84,8804.00,8923.32,119.32,260.289,25.653,1.950,22,0,67,14,2,6.000,0,21,0,1
