episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,114.32,114.32,260.830,31.099,2.883,23,0,63,12,3,5.550,0,22,0,1
2,114.32,226.00,111.68,248.500,25.333,0.183,22,0,61,15,2,6.450,0,19,1,2
3,226.00,286.00,60.00,198.962,23.406,0.083,20,0,54,13,0,1.350,0,16,1,3
4,286.00,404.00,118.00,262.967,25.802,1.458,22,0,66,13,2,6.750,0,19,0,3
5,404.00,464.00,60.00,200.795,27.176,0.133,20,0,56,8,0,0.450,0,17,0,3
6,464.00,576.32,112.32,235.291,25.199,0.400,22,0,66,13,2,4.950,0,20,1,1
7,576.32,689.66,113.34,246.079,37.786,0.733,22,0,60,15,2,3.450,0,21,0,1
8,689.66,808.66,119.00,238.990,26.753,1.317,22,0,62,13,2,3.000,0,16,2,4
9,808.66,928.00,119.34,236.498,25.659,0.383,22,0,63,13,2,3.900,0,18,0,4
10,928.00,1039.66,111.66,226.770,24.399,0.567,21,0,63,13,1,1.800,0,18,0,3
11,1039.66,1099.66,60.00,190.279,24.381,0.850,20,0,53,9,0,0.900,0,15,1,4
12,1099.66,1211.00,111.34,236.167,30.660,4.367,22,0,68,7,2,6.600,0,18,0,4
13,1211.00,1271.00,60.00,196.417,24.810,1.783,20,0,59,8,0,0.000,0,17,0,3
14,1271.00,1385.00,114.00,244.110,24.193,1.467,21,0,63,12,1,6.300,0,20,0,1
15,1385.00,1487.28,102.28,205.178,26.591,0.733,21,0,53,10,1,2.550,0,13,3,5
16,1487.28,1547.28,60.00,197.333,26.637,3.483,20,0,55,7,0,1.350,0,15,0,5
17,1547.28,1662.66,115.38,228.245,23.850,0.000,21,0,58,10,1,5.400,0,17,2,3
18,1662.66,1722.66,60.00,194.184,23.570,0.567,20,0,56,7,0,2.850,0,17,1,2
19,1722.66,1782.66,60.00,187.394,29.028,2.100,20,0,57,8,0,1.050,0,16,1,3
20,1782.66,1896.74,114.08,197.952,26.040,0.817,21,0,55,8,1,4.050,0,15,1,5
21,1896.74,1956.74,60.00,191.075,24.996,1.633,20,0,57,8,0,1.350,0,14,2,4
22,1956.74,2071.66,114.92,191.767,25.044,0.117,21,0,53,7,1,1.950,0,14,3,4
23,2071.66,2131.66,60.00,176.158,25.434,1.250,20,0,55,7,0,0.000,0,16,0,4
24,2131.66,2242.12,110.46,210.531,25.534,0.533,21,0,57,12,1,2.100,0,18,1,2
25,2242.12,2357.00,114.88,278.193,27.879,0.967,23,0,71,13,3,8.550,0,21,0,2
26,2357.00,2471.00,114.00,216.695,27.405,1.300,22,0,62,9,2,3.300,0,15,1,6
27,2471.00,2580.04,109.04,213.897,28.771,2.217,21,0,61,8,1,2.700,0,15,1,5
