episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,59.98,59.98,197.740,23.200,0.267,20,0,58,11,0,1.050,0,18,0,2
2,59.98,174.66,114.68,256.534,28.622,2.700,23,0,65,14,3,5.400,0,17,2,4
3,174.66,283.98,109.32,221.260,24.215,0.117,21,0,59,12,1,4.800,0,18,0,3
4,283.98,343.98,60.00,217.138,23.872,0.683,20,0,56,11,0,1.050,0,17,1,2
5,343.98,403.98,60.00,188.002,26.314,2.667,20,0,51,8,0,2.700,0,17,0,3
6,403.98,523.32,119.34,221.295,25.148,1.750,21,0,60,8,1,1.950,0,21,0,0
7,523.32,670.32,147.00,254.728,28.657,2.233,23,0,62,12,3,6.300,0,18,1,4
8,670.32,788.32,118.00,206.633,24.078,0.167,21,0,58,7,1,3.450,0,18,1,2
9,788.32,848.32,60.00,198.881,23.760,1.050,20,0,51,10,0,3.150,0,18,1,1
10,848.32,960.66,112.34,205.258,26.083,1.167,21,0,62,10,1,4.200,0,19,0,2
