episode,startTime,endTime,aliveTime,spawned,dead,rewardSum
1,0.00,41.70,41.70,0,2,8.458
2,41.70,101.70,60.00,0,1,7.539
3,101.70,156.20,54.50,0,1,5.942
4,156.20,197.88,41.68,0,1,5.988
5,197.88,257.88,60.00,0,1,10.373
6,257.88,305.18,47.30,0,1,3.622
7,305.18,338.52,33.34,0,1,9.583
8,338.52,371.86,33.34,0,2,7.778
9,371.86,405.20,33.34,0,1,3.983
10,405.20,438.54,33.34,0,1,7.183
11,438.54,498.54,60.00,0,2,14.990
12,498.54,536.86,38.32,0,2,6.586
13,536.86,570.20,33.34,0,1,5.983
14,570.20,603.54,33.34,0,2,12.127
15,603.54,636.88,33.34,0,1,5.103
16,636.88,670.22,33.34,0,1,5.983
17,670.22,708.30,38.08,0,1,6.603
18,708.30,759.20,50.90,0,1,7.199
19,759.20,819.20,60.00,0,1,9.158
20,819.20,879.20,60.00,0,2,11.517
21,879.20,912.54,33.34,0,1,3.022
22,912.54,958.36,45.82,0,1,5.308
23,958.36,991.70,33.34,0,1,7.503
24,991.70,1025.04,33.34,0,1,1.482
25,1025.04,1063.04,38.00,0,1,1.563
26,1063.04,1096.38,33.34,0,1,7.183
27,1096.38,1142.00,45.62,0,1,6.641
28,1142.00,1175.34,33.34,0,1,8.383
29,1175.34,1208.68,33.34,0,1,7.503
30,1208.68,1242.02,33.34,0,1,3.023
31,1242.02,1282.34,40.32,0,1,2.812
32,1282.34,1342.34,60.00,0,1,8.999
33,1342.34,1375.68,33.34,0,1,9.583
34,1375.68,1409.02,33.34,0,1,6.303
35,1409.02,1469.02,60.00,0,3,13.458
36,1469.02,1519.70,50.68,0,1,7.277
37,1519.70,1553.04,33.34,0,2,11.406
38,1553.04,1586.38,33.34,0,1,7.183
39,1586.38,1633.68,47.30,0,3,17.019
40,1633.68,1674.00,40.32,0,1,3.323
41,1674.00,1707.34,33.34,0,1,8.463
42,1707.34,1766.20,58.86,0,2,12.810
43,1766.20,1804.90,38.70,0,2,6.727
44,1804.90,1844.96,40.06,0,1,4.482
45,1844.96,1878.30,33.34,0,1,3.583
46,1878.30,1938.30,60.00,0,1,12.738
47,1938.30,1982.78,44.48,0,2,9.271
48,1982.78,2016.12,33.34,0,1,10.783
49,2016.12,2075.84,59.72,0,1,8.231
50,2075.84,2109.18,33.34,0,1,7.263
51,2109.18,2142.52,33.34,0,1,5.743
52,2142.52,2175.86,33.34,0,1,7.183
53,2175.86,2202.58,26.72,0,0,0.000
54,2202.58,2263.34,60.76,1,1,1.135
55,2263.34,2296.68,33.34,0,1,4.783
56,2296.68,2330.02,33.34,0,1,9.583
