episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,60.00,60.00,204.094,26.872,3.783,20,0,57,11,0,0.750,0,19,0,1
2,60.00,179.32,119.32,207.596,27.215,1.983,21,0,57,10,1,1.950,0,18,2,1
3,179.32,293.32,114.00,243.383,37.541,2.200,23,0,67,14,3,7.200,0,23,0,0
4,293.32,409.66,116.34,189.125,25.664,0.917,21,0,56,7,1,2.250,0,15,1,5
5,409.66,469.66,60.00,227.190,23.677,1.383,20,0,55,10,0,1.950,0,20,0,0
6,469.66,584.06,114.40,256.380,24.662,0.183,22,0,65,11,2,7.500,0,17,0,5
7,584.06,694.66,110.60,194.114,25.002,0.167,21,0,53,9,1,1.950,0,15,3,3
8,694.66,754.66,60.00,192.925,24.490,1.267,20,0,55,9,0,1.050,0,19,0,1
9,754.66,857.66,103.00,234.964,28.029,4.417,21,0,58,11,1,4.650,0,19,0,2
10,857.66,974.00,116.34,246.402,25.146,0.083,22,0,64,9,2,5.400,0,19,1,2
11,974.00,1087.66,113.66,248.527,25.271,0.150,22,0,62,11,2,4.050,0,19,1,2
12,1087.66,1203.00,115.34,207.167,30.462,3.017,21,0,60,7,1,1.500,0,19,0,2
13,1203.00,1263.00,60.00,195.329,23.476,0.300,20,0,58,11,0,0.000,0,18,0,2
14,1263.00,1323.00,60.00,194.226,23.287,0.600,20,0,51,10,0,1.800,0,18,1,1
15,1323.00,1438.66,115.66,227.604,26.521,0.183,21,0,59,11,1,3.600,0,21,0,0
16,1438.66,1498.66,60.00,181.732,25.154,1.650,20,0,50,9,0,2.100,0,18,0,2
17,1498.66,1604.36,105.70,213.990,24.217,0.067,21,0,55,12,1,1.650,0,19,1,1
18,1604.36,1692.00,87.64,203.594,26.105,0.300,21,0,58,9,1,1.500,0,19,2,0
19,1692.00,1752.00,60.00,186.716,24.760,1.683,20,0,53,10,0,0.750,0,16,2,2
20,1752.00,1812.00,60.00,210.106,30.145,6.767,20,0,52,14,0,6.300,0,18,1,1
21,1812.00,1872.00,60.00,195.537,26.581,2.000,20,0,56,9,0,0.750,0,19,0,1
