episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,116.00,116.00,217.060,24.683,0.550,21,0,60,7,1,2.850,0,18,0,3
2,116.00,229.32,113.32,225.968,34.855,3.642,23,0,60,15,3,5.550,0,16,3,4
3,229.32,289.32,60.00,179.895,28.550,0.633,20,0,52,8,0,3.000,0,16,1,3
4,289.32,349.32,60.00,181.707,24.786,0.433,20,0,55,8,0,1.050,0,14,1,5
