episode,startTime,endTime,aliveTime,spawned,dead,rewardSum
1,0.00,33.32,33.32,0,2,8.283
2,33.32,88.12,54.80,0,2,7.627
3,88.12,121.46,33.34,0,2,10.525
4,121.46,151.00,29.54,0,0,0.000
5,151.00,211.00,60.00,0,3,7.949
6,211.00,251.32,40.32,0,1,7.239
7,251.32,287.74,36.42,0,2,13.627
8,287.74,321.08,33.34,0,2,13.807
9,321.08,381.08,60.00,0,1,10.468
10,381.08,414.42,33.34,0,1,5.183
11,414.42,447.76,33.34,0,1,4.223
12,447.76,483.10,35.34,0,1,4.843
13,483.10,536.32,53.22,0,2,13.839
14,536.32,576.00,39.68,0,2,16.593
15,576.00,633.20,57.20,0,1,8.590
16,633.20,673.52,40.32,0,1,7.446
17,673.52,706.86,33.34,0,2,7.542
18,706.86,756.34,49.48,0,1,1.829
19,756.34,789.68,33.34,0,1,1.474
20,789.68,846.34,56.66,0,2,13.545
21,846.34,879.68,33.34,0,1,5.983
22,879.68,923.32,43.64,0,1,7.515
23,923.32,962.44,39.12,0,1,7.563
24,962.44,1008.36,45.92,0,1,9.261
25,1008.36,1045.76,37.40,0,1,11.083
26,1045.76,1086.08,40.32,0,2,17.347
27,1086.08,1119.42,33.34,0,1,0.233
28,1119.42,1152.76,33.34,0,1,2.383
29,1152.76,1186.10,33.34,0,1,10.783
30,1186.10,1246.10,60.00,0,2,10.397
31,1246.10,1279.44,33.34,0,1,8.383
32,1279.44,1312.78,33.34,0,1,7.183
33,1312.78,1372.78,60.00,0,1,8.775
34,1372.78,1406.12,33.34,0,1,7.503
35,1406.12,1439.46,33.34,0,1,9.583
36,1439.46,1499.46,60.00,0,2,16.529
37,1499.46,1559.46,60.00,0,1,8.005
38,1559.46,1592.80,33.34,0,1,3.023
39,1592.80,1626.14,33.34,0,1,4.783
40,1626.14,1659.48,33.34,0,1,5.183
