episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
63,0,4048.66,4048.66,4524.220,1939.997,162.555,1278,0,1028,163,18,27.000,0,176,781,322
64,0,4108.66,4108.66,4612.820,1967.821,163.496,1298,0,1050,167,18,27.000,0,182,790,327
65,0,4205.66,4205.66,4721.830,1997.835,164.262,1319,0,1075,174,19,28.500,0,186,800,334
66,0,4281.34,4281.34,4833.015,2029.870,166.929,1341,0,1098,179,21,31.500,0,190,813,339
67,0,4356.44,4356.44,4937.801,2062.754,171.294,1362,0,1122,183,22,33.000,0,195,824,344
68,0,4416.44,4416.44,5024.669,2089.130,171.611,1382,0,1142,189,22,33.000,0,202,836,345
69,0,4476.44,4476.44,5112.970,2115.708,172.227,1402,0,1164,196,22,33.000,0,203,850,350
70,0,4536.44,4536.44,5197.816,2143.793,173.843,1422,0,1184,200,22,33.000,0,205,862,356
71,0,4596.44,4596.44,5293.959,2169.605,173.843,1442,0,1206,204,22,33.000,0,208,875,360
72,0,4656.44,4656.44,5387.265,2200.918,174.760,1462,0,1229,209,22,33.000,0,214,884,365
73,0,4723.34,4723.34,5495.077,2228.686,175.027,1483,0,1252,218,23,34.500,0,217,898,369
74,0,4816.66,4816.66,5596.674,2263.626,175.860,1504,0,1276,224,24,36.000,0,220,911,374
75,0,4911.66,4911.66,5706.952,2294.556,175.876,1525,0,1300,232,25,37.500,0,225,921,380
76,0,5005.66,5005.66,5822.917,2324.446,176.060,1546,0,1325,240,26,39.000,0,229,935,383
77,0,5065.66,5065.66,5922.688,2357.730,176.193,1566,0,1347,247,26,39.000,0,231,947,389
78,0,5153.66,5153.66,6047.731,2387.831,176.426,1588,0,1373,254,28,42.000,0,237,961,391
79,0,5245.00,5245.00,6153.173,2418.611,177.093,1609,0,1397,260,29,43.500,0,242,975,393
80,0,5305.00,5305.00,6234.621,2450.727,177.093,1629,0,1419,261,29,43.500,0,245,985,400
81,0,5365.00,5365.00,6324.915,2483.251,179.675,1649,0,1440,269,29,43.500,0,248,998,404
82,0,5425.00,5425.00,6428.311,2522.843,182.775,1670,0,1463,274,30,45.000,0,252,1013,406
83,0,5485.00,5485.00,6520.235,2549.369,182.775,1690,0,1485,281,30,45.000,0,255,1026,410
84,0,5583.66,5583.66,6633.602,2582.077,183.674,1711,0,1510,288,31,46.500,0,260,1038,414
85,0,5643.66,5643.66,6734.927,2624.132,193.764,1731,0,1534,296,31,46.500,0,267,1049,416
86,0,5711.66,5711.66,6850.686,2655.377,194.164,1752,0,1557,303,32,48.000,0,273,1062,418
87,0,5804.66,5804.66,6970.720,2684.252,196.263,1773,0,1583,311,33,49.500,0,278,1073,423
88,0,5864.66,5864.66,7074.152,2713.721,197.046,1793,0,1608,319,33,49.500,0,284,1083,427
89,0,5924.66,5924.66,7170.766,2741.303,198.013,1813,0,1630,327,33,49.500,0,288,1097,429
90,0,5984.66,5984.66,7264.929,2769.881,201.062,1833,0,1653,334,33,49.500,0,295,1107,432
91,0,6094.00,6094.00,7384.913,2800.663,202.795,1854,0,1680,343,34,51.000,0,303,1116,436
92,0,6187.32,6187.32,7500.537,2828.342,203.161,1875,0,1706,351,35,52.500,0,309,1129,438
93,0,6247.32,6247.32,7606.984,2856.955,203.761,1895,0,1731,360,35,52.500,0,313,1142,441
94,0,6307.32,6307.32,7701.012,2892.178,204.878,1915,0,1755,362,35,53.550,0,319,1153,444
95,0,6367.32,6367.32,7801.785,2927.538,207.427,1935,0,1779,369,35,53.550,0,326,1163,447
96,0,6427.32,6427.32,7894.158,2953.626,207.427,1955,0,1801,375,35,53.550,0,330,1174,452
97,0,6487.32,6487.32,7990.002,2987.999,207.477,1975,0,1826,382,35,53.550,0,334,1185,457
98,0,6566.00,6566.00,8100.615,3021.365,207.644,1996,0,1847,392,36,55.050,0,340,1199,458
99,0,6670.32,6670.32,8216.638,3051.756,207.744,2017,0,1873,400,37,56.550,0,344,1211,463
100,0,6730.32,6730.32,8313.279,3087.389,208.110,2037,0,1898,406,37,56.550,0,347,1224,467
101,0,6801.66,6801.66,8425.457,3115.945,208.243,2058,0,1922,415,38,58.050,0,357,1233,469
102,0,6899.00,6899.00,8547.769,3148.386,210.110,2080,0,1949,422,40,61.050,0,364,1246,471
