episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
54,20792.76,21442.22,649.46,2700.805,187.609,35.823,89,0,5,0,581,244,59,119.322,0,28,39,22,0
55,21442.22,22141.48,699.26,2756.172,191.751,34.798,93,0,6,0,560,264,63,127.567,0,29,51,14,0
56,22141.48,22640.78,499.30,2010.266,150.332,22.969,75,0,5,0,470,159,45,95.938,0,20,21,34,0
57,22640.78,23518.44,877.66,2876.984,203.890,29.656,101,0,9,0,664,259,71,134.762,0,35,38,28,0
58,23518.44,23908.98,390.54,1689.266,159.161,23.761,69,0,4,0,334,146,39,85.744,0,4,46,19,0
59,23908.98,24141.96,232.98,453.383,97.655,7.951,37,0,2,0,133,49,7,19.188,0,1,19,17,0
60,24141.96,24596.62,454.66,1336.742,153.549,41.374,61,0,4,0,316,117,31,63.559,0,7,30,24,0
61,24596.62,25096.74,500.12,1668.938,155.624,31.451,68,0,5,0,399,150,38,74.352,0,19,31,18,0
62,25096.74,25923.52,826.78,3439.375,234.517,33.503,113,0,8,0,730,312,83,167.891,0,45,48,20,0
63,25923.52,26760.56,837.04,3859.234,266.054,36.171,129,0,9,0,780,336,99,183.630,0,33,69,27,0
64,26760.56,27376.58,616.02,2043.047,173.406,32.425,77,0,6,0,441,199,47,102.833,0,22,44,11,0
65,27376.58,27928.10,551.52,1925.219,151.447,25.491,73,0,6,0,445,187,43,94.289,0,25,35,13,0
66,27928.10,28769.70,841.60,3332.227,247.940,30.449,114,0,7,0,662,282,84,165.342,0,27,63,24,0
67,28769.70,29215.18,445.48,1100.898,120.535,19.030,53,0,4,0,296,96,23,54.115,0,10,21,22,0
68,29215.18,29710.44,495.26,1576.477,133.216,22.993,65,0,6,0,379,141,35,76.450,0,14,31,20,0
69,29710.44,30308.38,597.94,2951.172,226.910,44.339,101,0,6,0,605,252,71,139.409,0,30,46,25,0
70,30308.38,31189.08,880.70,4633.844,326.943,63.302,142,0,8,0,854,398,112,234.148,0,48,74,21,0
71,31189.08,31778.98,589.90,1671.133,173.088,35.696,67,0,5,0,409,147,37,77.050,0,20,24,23,0
72,31778.98,32657.26,878.28,5397.523,440.835,107.607,159,0,10,0,1075,451,129,257.532,0,68,49,43,0
73,32657.26,33385.78,728.52,2426.008,209.579,44.310,90,0,8,0,534,216,60,120.821,0,23,41,26,0
74,33385.78,34041.26,655.48,3420.211,270.144,57.898,112,0,7,0,685,289,82,171.338,0,34,47,31,0
75,34041.26,34570.54,529.28,2294.117,208.780,50.041,87,0,5,0,433,210,57,108.529,0,12,58,17,0
76,34570.54,35014.42,443.88,1791.430,147.382,39.525,69,0,5,0,396,176,39,90.691,0,23,31,15,0
77,35014.42,35797.50,783.08,2970.086,220.300,38.316,104,0,8,0,618,241,74,140.009,0,28,48,28,0
78,35797.50,36844.46,1046.96,3000.297,258.033,43.437,105,0,12,0,690,267,75,159.046,0,35,44,27,0
79,36844.46,37386.38,541.92,2177.484,197.071,32.696,82,0,5,0,438,207,52,108.979,0,19,51,12,0
80,37386.38,37848.48,462.10,1722.563,153.560,17.706,70,0,4,0,355,166,40,83.795,0,14,44,12,0
81,37848.48,38555.52,707.04,3905.000,340.383,77.102,129,0,7,0,706,321,99,188.727,0,24,78,27,0
82,38555.52,39307.58,752.06,2954.688,245.247,51.432,102,0,7,0,648,259,72,147.054,0,34,39,29,0
83,39307.58,40203.44,895.86,4213.109,365.579,64.341,135,0,10,0,873,347,105,200.120,0,45,47,43,0
84,40203.44,40721.44,518.00,2043.953,227.685,59.754,76,0,5,0,458,180,46,97.586,0,22,30,24,0
85,40721.44,41594.70,873.26,3371.219,316.251,58.099,116,0,9,0,746,287,86,151.851,0,37,45,34,0
86,41594.70,42322.50,727.80,3097.094,279.417,58.028,104,0,7,0,659,281,74,159.346,0,38,44,22,0
87,42322.50,42856.10,533.60,1837.375,169.336,31.909,74,0,4,0,375,161,44,95.488,0,8,50,16,0
88,42856.10,43402.26,546.16,2954.531,292.091,70.384,101,0,6,0,599,240,71,140.908,0,30,42,30,0
89,43402.26,44126.12,723.86,1621.188,172.382,29.343,67,0,7,0,415,151,37,84.695,0,22,28,17,0
90,44126.12,44737.70,611.58,2804.844,289.624,59.294,99,0,7,0,547,238,69,135.662,0,18,57,24,0
